"id","SOC","X","Y","soil","BLD","CRF","OCS","OCSlog"
"P3815",2.40719468706943,21.29519952,41.12822872,"Fluvisol",1.26964233891627,0,91.6882887815295,4.5183946588004
"P3818",0.918655706384787,21.31490414,41.11945943,"Fluvisol",1.59030534752823,0.479100386418989,43.6183109534372,3.77547703818602
"P3821",0.452831713412298,21.34875409,41.11396777,"Fluvisol",1.62583580895879,0,22.0869004529364,3.09498469309795
"P3825",1.57933102158654,21.37681625,41.102983,"Fluvisol",1.43173549606019,0,67.8355285090336,4.21708607700346
"P3828",1.27222423368021,21.39839987,41.10287437,"Fluvisol",1.59733799512081,0,60.9651632031257,4.1103026060057
"P3830",0.819968420562,21.35575505,41.10063653,"Fluvisol",1.60504773602779,0,39.4826537111196,3.67586142890006
"P3839",0.381956257986036,21.38894969,41.08111378,"Mollic Vertic Gleysol",1.35663999095891,0,15.5453140314262,2.74375924474934
"P3844",0.771658485692542,21.36397982,41.08311349,"Fluvisol",1.60112372950553,0,37.065621375499,3.61268989244945
"P3849",0.790987036468635,21.38928511,41.06130987,"Fluvisol",1.31684685643695,0,31.248263773683,3.4419638153968
"P3850",0.908404205235126,21.37756486,41.05490101,"Planosol",1.3836163333827,0.974537702940541,37.3390229393001,3.62003897117508
