"id","clay","X","Y","soil"
"P0382",6,22.09288011,42.19908112,"Complex of Cambisol, Leptosol and Regosol"
"P0383",2,22.13837019,42.20301435,"Complex of Cambisol, Leptosol and Regosol"
"P0384",1,22.18425011,42.20677243,"Complex of Cambisol, Leptosol and Regosol"
"P0388",28.1652810795371,22.17351957,42.18119593,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol"
"P0389",3,22.24139459,42.18930481,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0390",8.72678626424392,22.26663435,42.1746144,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0391",4,22.30922708,42.23907744,"Complex of Cambisol, Leptosol and Regosol"
"P0392",17,22.30225343,42.21635139,"Complex of Cambisol, Leptosol and Regosol"
"P0393",3,22.15230329,42.22473549,"Complex of Cambisol, Leptosol and Regosol"
"P0394",28.7766423975618,22.09233484,42.16038038,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol"
"P0399",2.40061628738454,22.21971787,42.11780668,"Cambisol"
"P0400",2,22.11764399,42.10909555,"Complex of Cambisol, Leptosol and Regosol"
"P0403",10,22.20421042,42.05624195,"Complex of Cambisol, Leptosol and Regosol"
"P0406",8,22.13173981,42.02458432,"Complex of Vertisol, Regosol and Leptosol"
"P0409",3,22.28820807,42.0075925,"Complex of Cambisol, Leptosol and Regosol"
"P0410",8,22.27381637,42.03835654,"Complex of Cambisol, Leptosol and Regosol"
"P0412",3,22.2529699,42.12312957,"Cambisol"
"P0414",5,22.30800585,42.14467286,"Cambisol"
"P0415",1,22.3302686,42.14881955,"Complex of Mollic and Umbric Leptosol"
"P0416",9,22.37968386,42.29693461,"Cambisol"
"P0417",7,22.40596523,42.2653832,"Cambisol"
"P0418",5,22.42237918,42.25953574,"Cambisol"
"P0420",3,22.35582355,42.23047806,"Complex of Mollic and Umbric Leptosol"
"P0422",1,22.425961,42.22807886,"Complex of Mollic and Umbric Leptosol"
"P0424",4,22.43722952,42.21163323,"Cambisol"
"P0425",3,22.35239264,42.20765912,"Cambisol"
"P0426",3.01155014478117,22.35468317,42.19470327,"Cambisol"
"P0427",3.16350396424804,22.45818649,42.19079611,"Cambisol"
"P0428",1.43774900398406,22.47342211,42.18267847,"Cambisol"
"P0430",3,22.48910578,42.16235345,"Complex of Mollic and Umbric Leptosol"
"P0431",1.13513585489308,22.48578569,42.15648129,"Complex of Mollic and Umbric Leptosol"
"P0432",1,22.35961713,42.17352296,"Cambisol"
"P0434",2.15786107831562,22.37085834,42.15544538,"Complex of Mollic and Umbric Leptosol"
"P0435",5.74110591206179,22.36369492,42.15262266,"Complex of Cambisol and Regosol"
"P0436",3.40254407051282,22.34976554,42.14167716,"Complex of Cambisol and Regosol"
"P0437",3.43012070916635,22.40056024,42.13715177,"Complex of Mollic and Umbric Leptosol"
"P0438",2.94175033231115,22.40675011,42.14081246,"Cambisol"
"P0439",2.18047228544197,22.4204587,42.14091364,"Cambisol"
"P0440",1.63691947271746,22.41890282,42.13137125,"Complex of Mollic and Umbric Leptosol"
"P0441",5.00830078125,22.43594116,42.12743183,"Complex of Mollic and Umbric Leptosol"
"P0442",2,22.46457506,42.13344427,"Complex of Mollic and Umbric Leptosol"
"P0444",1,22.37020065,42.10811308,"Cambisol"
"P0445",2.35742129162271,22.40292482,42.10561979,"Cambisol"
"P0446",3.86783696529459,22.42987229,42.1135703,"Complex of Mollic and Umbric Leptosol"
"P0447",1.04141316371681,22.39333989,42.08698231,"Cambisol"
"P0448",1.12516206482877,22.35807384,42.05544255,"Cambisol"
"P0449",1.8360954809214,22.36041836,42.02773775,"Cambisol"
"P0450",3.26717557251908,22.50593203,42.00979514,"Cambisol"
"P0451",4,21.15063907,41.16012592,"Leptosol"
"P0452",20.6300846439159,21.15471918,41.23311652,"Complex of Cambisol, Leptosol and Regosol"
"P0453",5,21.09445944,41.21174047,"Complex of Cambisol, Leptosol and Regosol"
"P0456",15.8376512727779,21.11700076,41.17327662,"Complex of Cambisol, Leptosol and Regosol"
"P0459",15.2727744105692,21.13653174,41.2236301,"Complex of Cambisol, Leptosol and Regosol"
"P0461",14.7029817765168,21.18715499,41.22934025,"Complex of Cambisol, Leptosol and Regosol"
"P0462",20.2204091046013,21.18726224,41.21258151,"Complex of Cambisol, Leptosol and Regosol"
"P0465",9.45907547678204,21.20919863,41.22570026,"Fluvisol"
"P0466",11.6604212719445,21.21487728,41.20418551,"Fluvisol"
"P0467",11.2362807932327,21.19684415,41.19867056,"Fluvisol"
"P0468",14.1174160975372,21.19412998,41.17990835,"Fluvisol"
"P0469",11.3189733210357,21.15886976,41.15393727,"Complex of Cambisol, Leptosol and Regosol"
"P0471",10,21.22435215,41.1609785,"Regosol"
"P0472",13.7811774099884,21.24674853,41.15956391,"Regosol"
"P0477",13,21.25475401,41.19294679,"Complex of Cambisol, Leptosol and Regosol"
"P0478",8,21.25445626,41.21456885,"Complex of Cambisol, Leptosol and Regosol"
"P0484",10,21.22398006,41.18468095,"Complex of Cambisol, Leptosol and Regosol"
"P0485",19.6902990531028,21.1795273,41.23602519,"Fluvisol"
"P0486",1,20.83048273,41.97915767,"Complex of Mollic and Umbric Leptosol"
"P0490",3.08561643835616,20.81804511,41.93125542,"Complex of Mollic and Umbric Leptosol"
"P0491",1,20.80525991,41.94038253,"Complex of Mollic and Umbric Leptosol"
"P0492",3.76267482517483,20.80515026,41.9090483,"Complex of Mollic and Umbric Leptosol"
"P0493",3,20.8273163,41.90496892,"Complex of Mollic and Umbric Leptosol"
"P0495",1.43913043478261,20.78317992,41.8580007,"Complex of Mollic and Umbric Leptosol"
"P0496",2.00198970037453,20.79285517,41.83072694,"Complex of Mollic and Umbric Leptosol"
"P0501",14.0202995510781,21.03584231,41.98193339,"Fluvisol"
"P0502",6.89701842621889,20.9772397,41.98807742,"Fluvisol"
"P0504",14.3763351477649,20.94428693,41.9660875,"Fluvisol"
"P0505",6.05155506866866,20.95735447,41.94569905,"Fluvisol"
"P0506",6.04454603482931,20.94052674,41.94883397,"Fluvisol"
"P0508",10.9580239744494,20.92353181,41.90880998,"Fluvisol"
"P0509",11.9510972696466,20.90688471,41.89272541,"Fluvisol"
"P0512",10.0284279955797,21.00177532,41.97957994,"Fluvisol"
"P0515",10.0642275287332,20.97905944,41.95933712,"Fluvisol"
"P0517",8.91905530074388,21.00463289,41.94703047,"Fluvisol"
"P0522",7.90432963573596,20.9625973,41.91059415,"Fluvisol"
"P0526",17.2700464036027,20.98131155,41.84812818,"Populated Site"
"P0530",9.12413188003559,20.9365904,41.81915474,"Fluvisol"
"P0531",13.4698928938746,20.88673018,41.78662013,"Complex of Chromic Luvisol on saprolite and Regosol"
