"id","pH","X","Y","soil"
"P0334",6,22.20810175,42.30808115,"Complex of Cambisol and Regosol"
"P0337",6.4,22.32138008,42.26986435,"Complex of Cambisol, Leptosol and Regosol"
"P0338",6.1,22.31461466,42.28904701,"Cambisol"
"P0339",6.2,22.28814779,42.30529213,"Cambisol"
"P0340",5.90513698630137,21.87088478,42.23296175,"Vertisol"
"P0341",6.1,21.86531991,42.21581625,"Vertisol"
"P0342",6.2,21.91397996,42.22550471,"Regosol"
"P0345",6.48656222739168,21.9479351,42.20770838,"Vertisol"
"P0349",6.20972390776699,21.87745385,42.16926594,"Complex of Regosol and Vertisol"
"P0350",8.63539951989026,21.91430237,42.17394813,"Vertisol"
"P0352",5.8,21.90335439,42.14204521,"Complex of Vertisol, Regosol and Leptosol"
"P0356",7.22443302622254,21.9899484,42.14268125,"Vertisol"
"P0360",7.95886550752898,21.84701826,42.09781694,"Complex of Vertisol, Regosol and Leptosol"
"P0361",8.09707058316853,21.87547658,42.08109961,"Vertisol"
"P0363",6.5,21.92184843,42.09758231,"Complex of Vertisol, Regosol and Leptosol"
"P0364",6.58320141210091,21.89036732,42.05000329,"Vertisol"
"P0365",8.05544093851133,21.95435742,42.06859486,"Complex of Vertisol, Regosol and Leptosol"
"P0366",7.05621312560771,21.96965503,42.0764979,"Complex of Regosol and Vertisol"
"P0367",7.60616848837778,21.93901757,42.04690542,"Complex of Vertisol, Regosol and Leptosol"
"P0368",6.02439393939394,21.88262742,42.02757171,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0369",6.64904601571268,21.97123445,42.02074257,"Complex of Vertisol, Regosol and Leptosol"
"P0370",6.1,22.05043698,42.0429955,"Complex of Vertisol, Regosol and Leptosol"
"P0372",6.41513985253101,22.04577729,42.06452083,"Complex of Vertisol, Regosol and Leptosol"
"P0373",5.79315306122449,22.02966176,42.08117026,"Fluvisol"
"P0375",6.1,22.05704649,42.15813595,"Complex of Vertisol, Regosol and Leptosol"
"P0376",4.9,22.05783394,42.17780135,"Complex of Cambisol, Leptosol and Regosol"
"P0379",5.1,22.04453245,42.13079877,"Complex of Vertisol, Regosol and Leptosol"
"P0380",5.39200336700337,21.95684065,42.03599876,"Complex of Vertisol, Regosol and Leptosol"
"P0381",7.1,22.07716923,42.16877999,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol"
"P0382",7.2,22.09288011,42.19908112,"Complex of Cambisol, Leptosol and Regosol"
"P0383",7.3,22.13837019,42.20301435,"Complex of Cambisol, Leptosol and Regosol"
"P0384",6.1,22.18425011,42.20677243,"Complex of Cambisol, Leptosol and Regosol"
"P0385",6.2,22.18589776,42.21910806,"Complex of Cambisol, Leptosol and Regosol"
"P0386",7.2,22.21998723,42.2149691,"Complex of Cambisol, Leptosol and Regosol"
"P0388",5.07535114786046,22.17351957,42.18119593,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol"
"P0389",6,22.24139459,42.18930481,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0390",6.03660686787804,22.26663435,42.1746144,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0391",6,22.30922708,42.23907744,"Complex of Cambisol, Leptosol and Regosol"
"P0392",6.3,22.30225343,42.21635139,"Complex of Cambisol, Leptosol and Regosol"
"P0393",5.9,22.15230329,42.22473549,"Complex of Cambisol, Leptosol and Regosol"
"P0394",5.96532311773338,22.09233484,42.16038038,"Complex of Vertisol, Chromic Luvisol on saprolite and Regosol"
"P0397",6,22.19967428,42.1655835,"Fluvisol"
"P0398",6,22.23286366,42.16709531,"Complex of Chromic Luvisol on saprolite and Regosol"
"P0399",5.15527438057958,22.21971787,42.11780668,"Cambisol"
"P0400",4.6,22.11764399,42.10909555,"Complex of Cambisol, Leptosol and Regosol"
"P0403",5.6,22.20421042,42.05624195,"Complex of Cambisol, Leptosol and Regosol"
"P0406",4.5,22.13173981,42.02458432,"Complex of Vertisol, Regosol and Leptosol"
"P0409",3.9,22.28820807,42.0075925,"Complex of Cambisol, Leptosol and Regosol"
"P0410",4.4,22.27381637,42.03835654,"Complex of Cambisol, Leptosol and Regosol"
"P0412",4.42155397271268,22.2529699,42.12312957,"Cambisol"
"P0414",3.9,22.30800585,42.14467286,"Cambisol"
"P0415",4.4,22.3302686,42.14881955,"Complex of Mollic and Umbric Leptosol"
"P0416",5,22.37968386,42.29693461,"Cambisol"
"P0417",5.6,22.40596523,42.2653832,"Cambisol"
"P0418",4.3,22.42237918,42.25953574,"Cambisol"
"P0420",5.6,22.35582355,42.23047806,"Complex of Mollic and Umbric Leptosol"
"P0421",7.7,22.38992293,42.22150772,"Complex of Mollic and Umbric Leptosol"
"P0422",6,22.425961,42.22807886,"Complex of Mollic and Umbric Leptosol"
"P0424",5.5739829578203,22.43722952,42.21163323,"Cambisol"
"P0425",4.8,22.35239264,42.20765912,"Cambisol"
"P0426",5.63714303748531,22.35468317,42.19470327,"Cambisol"
"P0427",5.69405135941381,22.45818649,42.19079611,"Cambisol"
"P0428",5.27295816733068,22.47342211,42.18267847,"Cambisol"
"P0430",4.44852116624615,22.48910578,42.16235345,"Complex of Mollic and Umbric Leptosol"
"P0431",5.09907302438649,22.48578569,42.15648129,"Complex of Mollic and Umbric Leptosol"
"P0432",5,22.35961713,42.17352296,"Cambisol"
"P0434",5.08421389216844,22.37085834,42.15544538,"Complex of Mollic and Umbric Leptosol"
"P0435",5.39644236482472,22.36369492,42.15262266,"Complex of Cambisol and Regosol"
"P0436",5.00257734796931,22.34976554,42.14167716,"Complex of Cambisol and Regosol"
"P0437",5.28072090040035,22.40056024,42.13715177,"Complex of Mollic and Umbric Leptosol"
"P0438",5.31063587049703,22.40675011,42.14081246,"Cambisol"
"P0439",5.00463743626485,22.4204587,42.14091364,"Cambisol"
"P0440",4.8856651671291,22.41890282,42.13137125,"Complex of Mollic and Umbric Leptosol"
"P0441",5.20166015625,22.43594116,42.12743183,"Complex of Mollic and Umbric Leptosol"
"P0442",4.9,22.46457506,42.13344427,"Complex of Mollic and Umbric Leptosol"
"P0444",5.26223986856517,22.37020065,42.10811308,"Cambisol"
"P0445",4.84175220897655,22.40292482,42.10561979,"Cambisol"
"P0446",5.9440543449018,22.42987229,42.1135703,"Complex of Mollic and Umbric Leptosol"
"P0447",5.09585868362832,22.39333989,42.08698231,"Cambisol"
"P0448",4.74190967334881,22.35807384,42.05544255,"Cambisol"
"P0449",4.9697425781021,22.36041836,42.02773775,"Cambisol"
"P0450",4.79351145038168,22.50593203,42.00979514,"Cambisol"
"P0451",6.2,21.15063907,41.16012592,"Leptosol"
"P0452",5.15166124288939,21.15471918,41.23311652,"Complex of Cambisol, Leptosol and Regosol"
"P0453",5.4,21.09445944,41.21174047,"Complex of Cambisol, Leptosol and Regosol"
"P0456",5.28376512727779,21.11700076,41.17327662,"Complex of Cambisol, Leptosol and Regosol"
"P0459",5.19591335494898,21.13653174,41.2236301,"Complex of Cambisol, Leptosol and Regosol"
"P0461",5.08828363705805,21.18715499,41.22934025,"Complex of Cambisol, Leptosol and Regosol"
"P0462",5.22018553731456,21.18726224,41.21258151,"Complex of Cambisol, Leptosol and Regosol"
"P0465",6.51582774529231,21.20919863,41.22570026,"Fluvisol"
"P0466",5.48630796791888,21.21487728,41.20418551,"Fluvisol"
"P0467",5.8716163484516,21.19684415,41.19867056,"Fluvisol"
"P0468",7.42055421124784,21.19412998,41.17990835,"Fluvisol"
"P0469",5.89569199631072,21.15886976,41.15393727,"Complex of Cambisol, Leptosol and Regosol"
"P0471",5.8,21.22435215,41.1609785,"Regosol"
"P0472",5.95623548199768,21.24674853,41.15956391,"Regosol"
"P0477",6.1,21.25475401,41.19294679,"Complex of Cambisol, Leptosol and Regosol"
"P0478",5.2,21.25445626,41.21456885,"Complex of Cambisol, Leptosol and Regosol"
"P0484",5.9,21.22398006,41.18468095,"Complex of Cambisol, Leptosol and Regosol"
"P0485",5.55439819194867,21.1795273,41.23602519,"Fluvisol"
"P0486",4.444140625,20.83048273,41.97915767,"Complex of Mollic and Umbric Leptosol"
"P0490",4.36284246575342,20.81804511,41.93125542,"Complex of Mollic and Umbric Leptosol"
