"id","SOC","X","Y","soil","BLD","CRF","OCS","clay"
"P3373",2.29809115624269,21.34697231,41.25930775,"Mollic Fluvisol",1.49135401000721,0,102.818023836739,4.63296066680387
"P3379",1.76577188953705,21.36474935,41.24999559,"Gleysol",1.31204022557414,0,69.50291244782,4.24136865741675
"P3380",1.69669694057759,21.35989911,41.24240155,"Mollic Fluvisol",1.16458572385013,0,59.2784710409056,4.08224618849775
"P3381",0.93621204456039,21.3649239,41.24062074,"Mollic Fluvisol",1.32735004574914,0,37.2804330053439,3.61846860470015
"P3383",1.43207877643022,21.38430902,41.24443887,"Mollic Fluvisol",1.4387926705914,0,61.813933417119,4.12412879887533
"P3387",2.25087863024874,21.38377746,41.24127085,"Mollic Fluvisol",1.16466129785413,0,78.6453368045287,4.36494833727646
"P3396",1.64825754563529,21.39932931,41.23451818,"Mollic Fluvisol",1.70014283227249,0,84.0681975585265,4.43162834514726
"P3398",0.709104014465285,21.45752835,41.24092037,"Fluvisol",1.30936791349788,0,27.8543413162014,3.32698883631476
"P3402",0.810864996893528,21.40533845,41.2340109,"Fluvisol",1.39822899654002,0,34.0132485280759,3.52675011130788
"P3404",1.23024289536591,21.41076443,41.22039396,"Fluvisol",1.56591586683102,0.156743370137241,57.7031182946243,4.05531121528816
"P3410",0.809643663232015,21.42340544,41.216521,"Fluvisol",1.50036753119311,0,36.4428919244869,3.59574643050755
"P3418",1.36317837516438,21.44179206,41.20366465,"Planosol",1.69174329576748,0.961971408186559,68.5189018173347,4.22710964614322
"P3425",2.78741035452003,21.43872257,41.19039379,"Fluvisol",1.39120871240062,0.0329399229571347,116.297766089855,4.75615385117036
"P3426",2.40474893252871,21.43818582,41.19392585,"Fluvisol",1.26847450229115,0.0223290866887308,91.4904476157521,4.51623456918961
"P3429",1.62548810905866,21.43937131,41.21075195,"Mollic Vertic Gleysol",1.7115529465737,0,83.4632688803958,4.42440664142726
"P3435",1.32969479383833,21.45436096,41.22112171,"Mollic Fluvisol",1.44652879260901,0,57.7032541400834,4.05531356949887
"P3437",0.930153995556201,21.45668803,41.22646154,"Fluvisol",1.49752673733002,0,41.7879143453928,3.73260716723144
"P3448",0.800871644372078,21.46238456,41.20714084,"Complex of Solonchak and Solonetz",1.6047300896766,2.84809489182024,37.4573879785064,3.62320396630148
"P3463",0.560531334198691,21.48458458,41.19545996,"Fluvisol",1.90787148904736,0,32.0826525370608,3.46831546465057
"P3474",1.66347109066698,21.42740846,41.1792429,"Fluvisol",1.51229365375057,0,75.4697032083964,4.32373129371181
"P3475",1.35089866938784,21.44605905,41.18761903,"Mollic Fluvisol",1.39463238260419,0,56.5202108983558,4.03459828920278
"P3477",2.07747139683731,21.43685355,41.183611,"Mollic Fluvisol",1.38980491398156,0,86.6183986794189,4.46151224888527
"P3498",1.76482274262503,21.44536657,41.15402335,"Gleysol",1.59974355004414,0,84.697913984568,4.43909097307336
"P3502",1.41328639395533,21.45324292,41.14722971,"Mollic Fluvisol",1.53464672567021,0,65.0668601075342,4.17541535827062
"P3504",2.54993037165545,21.46206594,41.15674018,"Mollic Fluvisol",1.40053611279507,0.0161958430014855,107.120735202108,4.67395656470989
"P3514",0.789045767281434,21.46752355,41.17693482,"Albic Luvisol",1.75219478476331,0.00456427907331067,41.4749632316281,3.7250899495572
"P3522",1.08302269281943,21.45646601,41.18422834,"Fluvisol",1.70415661216302,11.7065631306627,48.8873771455758,3.88951922707568
"P3526",0.405590190950564,21.49043024,41.17840646,"Fluvisol",1.59898580895844,0,19.4559887874809,2.96815492948224
"P3529",1.64331109490236,21.51078899,41.18317175,"Mollic Fluvisol",1.35475768844626,0,66.7886502098404,4.20153315906845
"P3539",0.362513009973629,21.50331628,41.15527058,"Fluvisol",1.70507098842164,0,18.5433124869432,2.92010921121982
"P3546",0.521818406440159,21.48671342,41.13517023,"Fluvisol",1.69999794299459,7.0053027064949,24.7484058763456,3.20876107790381
"P3552",0.52199941268114,21.47556239,41.13320863,"Mollic Fluvisol",1.62856784939858,0,25.5033438269234,3.23880957403512
"P3567",1.43246282389447,21.46910233,41.10582309,"Mollic Vertic Gleysol",1.7001900433564,0,73.0637709199071,4.29133263404978
"P3572",1.54348879122796,21.44369142,41.1458981,"Mollic Fluvisol",1.59572521800838,0,73.8895196362718,4.30257099971395
"P3573",1.38486167359262,21.4453682,41.13841728,"Mollic Fluvisol",1.49314782239167,0,62.0340957671551,4.12768416561636
"P3578",2.22612102075056,21.44843344,41.13374968,"Mollic Fluvisol",1.21829193303491,0,81.3619584461954,4.39890782281484
"P3581",1.48975066097818,21.44825441,41.12319622,"Mollic Fluvisol",1.49569723733721,0,66.8464784383904,4.20239862360228
"P3590",1.45010024862796,21.4383578,41.13388752,"Fluvisol",1.49731208209204,0,65.1375786754595,4.17650162807125
"P3592",1.3407868284593,21.4475963,41.10520623,"Mollic Fluvisol",1.60992492702548,0,64.7569841089219,4.17064155744894
"P3600",2.24076988301513,21.41394728,41.1444329,"Fluvisol",1.19029426487414,0,80.0152662196682,4.38221744421444
"P3607",2.87280262165512,21.40562528,41.14718209,"Mollic Fluvisol",1.19129603294831,0,102.670750998638,4.63152727596843
"P3612",1.79558808826959,21.40560018,41.12570466,"Mollic Fluvisol",1.39380861187428,0,75.0811842242709,4.31856998442651
"P3613",2.7032551729898,21.4109617,41.127982,"Mollic Fluvisol",1.29007123914327,0.0833734917585442,104.534525713965,4.64951740644556
"P3620",2.13998108792192,21.41138888,41.09911854,"Fluvisol",1.39503736691237,1.04962633087633,88.6205557460699,4.48436383686508
"P3628",1.95730660533575,21.41899847,41.09952337,"Mollic Fluvisol",1.40543962513211,0,82.5262878501504,4.41311688319338
"P3634",2.79661326284972,21.42830408,41.080605,"Gleysol",1.28798368045057,0,108.059767292462,4.68268447491056
"P3641",2.81402352623428,21.43070982,41.05533602,"Gleysol",1.28535065555859,0,108.510209526076,4.68684426556819
"P3642",3.46555672239439,21.41981824,41.05063037,"Gleysol",1.18707120879514,0,123.415878228025,4.81555977603016
"P3650",3.0319076640508,21.43023162,41.02027078,"Gleysol",1.29418050383795,0,117.715073647542,4.76826707443952
"P3651",3.09396759496716,21.44253563,41.03055341,"Gleysol",1.07790977872783,0,100.050537770464,4.60567543603243
"P3656",3.05192096694155,21.45789316,41.02092967,"Gleysol",1.18883623748491,0,108.847027183203,4.68994347617488
"P3661",4.26800876162637,21.44791481,41.02059965,"Gleysol",1.18438866597497,0,151.649436106564,5.02157151574036
"P3663",5.77862884244476,21.44138046,40.99824634,"Gleysol",1.19760102680723,0,207.614755057492,5.33568422322412
"P3672",0.883668898194132,21.47830973,41.09820278,"Chromic Luvisol on saprolite",1.64257537745631,0,43.5447832199289,3.77378990783237
"P3678",0.466561314037375,21.45848565,41.07376188,"Chromic Luvisol on saprolite",1.47402271607109,0,20.6316592599321,3.02682675331723
"P3681",0.517144829923061,21.47037222,41.06686991,"Chromic Luvisol on saprolite",1.59981169727573,0,24.8200304428974,3.21165100632274
"P3687",0.666272913951049,21.47890676,41.05582121,"Fluvisol",1.6272682901515,0.136058559805262,32.4818889612884,3.48068267127752
"P3694",4.97827018496219,21.44514679,41.00683206,"Gleysol",0.982537798874824,0,146.740158892107,4.98866339609913
"P3703",1.69179107480936,21.46059779,40.9824476,"Fluvisol",1.39166801335919,0.0533371040723982,70.5946724752155,4.2569546809609
"P3704",1.64677775928824,21.47139041,40.97109309,"Fluvisol",1.49919960023831,8.36467372898613,67.8701229489842,4.21759592225056
"P3706",1.33410672853828,21.47394524,40.96781361,"Fluvisol",1.4,0,56.0324825986077,4.02593156897697
"P3708",1.1621872808336,21.46043703,40.96445527,"Fluvisol",1.39907332942134,0,48.77955685221,3.88731130812597
"P3712",2.56045483638691,21.45317895,40.97325538,"Mollic Fluvisol",1.28927801724138,0,99.0341440407905,4.59546467997486
"P3720",1.35809563310757,21.42298069,40.99830631,"Mollic Fluvisol",1.40269708374759,0,57.1499035203098,4.04567770205584
"P3721",2.17398833331228,21.41691295,41.02004055,"Mollic Fluvisol",1.48174226297319,10.6775304638683,86.3200838901432,4.4580622928
"P3725",1.40603386457672,21.40705153,41.03864497,"Fluvisol",1.60014889881691,0.0722844834139584,67.4471171359272,4.21134384098316
"P3732",1.31779235062159,21.40448419,41.06805657,"Mollic Fluvisol",1.50965059933865,0,59.6821803575931,4.08903348937013
"P3734",1.94173591116205,21.41871789,41.06282765,"Mollic Fluvisol",1.17752259036145,0,68.5931369972816,4.22819248595572
"P3742",0.575603276751504,21.40044975,41.00317769,"Fluvisol",1.50984580638307,4.30778004412438,24.9490342506332,3.21683511405893
"P3749",1.27822690864767,21.39843152,40.98189574,"Fluvisol",1.6,0,61.3548916150882,4.11667490090569
"P3750",1.49435934368705,21.41473764,40.98600777,"Fluvisol",1.50325289189669,0.123366757626431,67.3088608224298,4.20929188953577
"P3758",1.09260522977635,21.405432,40.95101844,"Planosol",1.7,0.0120986306659538,55.7161250147531,4.02026960260877
"P3759",0.996679622762678,21.400568,40.94807261,"Planosol",1.6,0,47.8406218926085,3.86787510898532
"P3762",1.80392812776273,21.42103855,40.96767676,"Mollic Fluvisol",1.48359799966086,6.60252136702366,74.9880182323808,4.31732834387223
"P3764",1.71509996829538,21.41984729,40.9559289,"Mollic Fluvisol",1.48210404316765,8.53687870497036,69.7485853797067,4.24489713920128
"P3774",1.17635462545418,21.43292574,40.93408711,"Fluvisol",1.59060747217521,0.922137837427891,55.6159249769574,4.0184695806949
"P3778",1.20885157767355,21.40772564,40.92031038,"Fluvisol",1.50543019737537,1.97991803113446,53.514308874856,3.97994907374687
"P3779",1.34261930375234,21.40843128,40.926936,"Fluvisol",1.59266216016548,10.0733783983452,57.6880795696257,4.05505055892334
"P3783",1.51128166359419,21.42186802,40.94680792,"Fluvisol",1.60028994055899,1.03779111301615,71.8016994393858,4.2739081448463
"P3789",1.75406123117676,21.44549309,41.05822457,"Fluvisol",1.29689156165683,0,68.2448162802759,4.22310147924323
"P3805",1.69571319926119,21.38856764,41.12130575,"Fluvisol",1.38176707084303,0,70.2924198099899,4.25266396668701
"P3810",0.527462267599294,21.39662482,41.10861687,"Fluvisol",1.41296901494009,0,22.3586352200352,3.10721260975303
"P3812",1.13901504974539,21.37080769,41.11632133,"Fluvisol",1.38911034400659,0.573425461258428,47.1943424724242,3.85427402253501
"P3815",2.40719468706943,21.29519952,41.12822872,"Fluvisol",1.26964233891627,0,91.6882887815295,4.5183946588004
"P3818",0.918655706384787,21.31490414,41.11945943,"Fluvisol",1.59030534752823,0.479100386418989,43.6183109534372,3.77547703818602
"P3828",1.27222423368021,21.39839987,41.10287437,"Fluvisol",1.59733799512081,0,60.9651632031257,4.1103026060057
"P3839",0.381956257986036,21.38894969,41.08111378,"Mollic Vertic Gleysol",1.35663999095891,0,15.5453140314262,2.74375924474934
"P3841",1.22113038572201,21.37953469,41.07472436,"Albic Luvisol",1.5960543173555,0,58.469712725568,4.06850888898187
"P3843",0.878666607628497,21.37012622,41.08190521,"Fluvisol",1.58865977484648,0,41.8770688512062,3.73473839432676
"P3849",0.790987036468635,21.38928511,41.06130987,"Fluvisol",1.31684685643695,0,31.248263773683,3.4419638153968
"P3850",0.908404205235126,21.37756486,41.05490101,"Planosol",1.3836163333827,0.974537702940541,37.3390229393001,3.62003897117508
"P3852",0.700707596087472,21.37016056,41.06681213,"Mollic Fluvisol",1.41522878050927,0,29.7498467011337,3.39282397907529
"P3864",1.1606906185831,21.35359284,41.09703205,"Mollic Fluvisol",1.49759171570953,0,52.1472196467546,3.95407086548581
"P3869",0.896263537818995,21.3221052,41.10901139,"Fluvisol",1.59947683609833,7.31880312863885,39.8590158888593,3.68534862528918
"P3872",1.82566316966729,21.32480965,41.11660427,"Fluvisol",1.60008989043749,0,87.6367554338609,4.47320049252051
"P3879",0.681629028069956,21.36731774,41.03918369,"Fluvisol",1.31236984545361,0,26.8364814667459,3.28976221061683
"P3883",1.15931133970853,21.39044335,41.03786493,"Fluvisol",1.59997859379494,0,55.6461998123215,4.01901378810005
"P3885",1.12679150848224,21.393928,41.04382365,"Fluvisol",1.47604322395318,0.987389456046172,49.4031233662438,3.90001364823252
"P3890",1.21285608517936,21.39789774,41.01961246,"Fluvisol",1.49090361091508,1.09096389084921,53.655724374269,3.98258816188006
"P3895",1.43951637663436,21.37954193,41.01180361,"Fluvisol",1.4332608981072,4.57340423471959,59.0653182815074,4.07864392105112
"P3911",0.995555400288284,21.37469835,40.95005975,"Fluvisol",1.60107484798896,0.0105596399639599,47.8137118464023,3.86731245707266
"P3919",1.47554732831206,21.38277757,40.9196034,"Fluvisol",1.4180046629385,2,61.5145899628286,4.1192743818446
"P3920",2.20663275837868,21.38191138,40.91556276,"Fluvisol",1.49975088967972,0.406049822064057,98.8788489608063,4.59389535287308
"P3929",1.37834152258952,21.39875694,40.92540288,"Fluvisol",1.60103305888285,0.06885270969327,66.1575276875438,4.19203868132833
"P3930",1.23124563616822,21.39668671,40.92866104,"Fluvisol",1.49244417441533,3.07555825584672,53.431499499464,3.97840045032347
"P3932",0.876788269842214,21.38712384,40.95028887,"Fluvisol",1.6,1,41.664978582902,3.72966093380313
"P3942",2.54088478674039,21.39311243,40.96867591,"Fluvisol",1.38100153975364,0,105.268974084752,4.65651873265435
"P3949",1.75620712419153,21.40542863,41.16747154,"Fluvisol",1.50052513899727,1,78.2664182923241,4.36011862584371
"P3974",0.870069605568445,21.52646816,41.11226616,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",1.54464009885697,17,33.4642155987864,3.51047667682732
"P3975",0.638051044083527,21.52769683,41.10213861,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",1.59959050483076,12,26.9443783412328,3.29377467972324
"P3978",0.812064965197216,21.55004067,41.08191628,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",1.55802069051477,7,35.2994710971618,3.56386798074377
"P3979",1.16009280742459,21.56199993,41.06914307,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",1.48104265402844,15,43.8127467258992,3.77992479618321
"P3980",1.45011600928074,21.55123235,41.04932929,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",1.42247510668563,9,56.3131821527228,4.03092864899504
"P3981",0.928074245939675,21.5478339,41.03255948,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",1.53148738054398,17,35.3912164970256,3.56646366779953
"P3984",0.928074245939675,21.56854694,40.99616736,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",1.53148738054398,13,37.096817292063,3.61353117865752
"P3985",1.39211136890951,21.5493004,40.99292866,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",1.43381509520532,13,52.0963906981793,3.9530956699331
"P3987",1.27610208816705,21.55783733,40.96227808,"Complex of Mollic and Umbric Leptosol, Regosol and Leptosol",1.45704627578972,10,50.2021744674647,3.91605834184452
"P3990",0.614985136310905,21.5711094,40.93358457,"Fluvisol",1.60545636534124,1.9005859375,29.0570013690416,3.36925946524194
"P3991",1.22027143707444,21.53765651,40.92312786,"Chromic Luvisol on saprolite",1.47034203881173,7.10794526143791,50.0005342088243,3.91203368954756
"P3992",1.06650229003767,21.54837595,40.9214744,"Chromic Luvisol on saprolite",1.50114091119107,2,47.0685244519626,3.85160450697104
