ProfID,x,y,soc_0_30,soc_30_60,soc_60_100,clay_0_30,clay_30_60,clay_60_100,ph_0_30,ph_30_60,ph_60_100,ocs_0_30,ocs_30_60,ocs_60_100
P3064,644485.3,4568104.3,1.476110747347862,1.1202551839185857,0.821662500493421,15.642057291666669,16.937213541666665,18.02395833333333,7.588362116228071,7.6837946820175445,7.7638706140350875,53.099762660214594,45.27235638558979,48.57059048661134
P3065,645154.1,4569077.4,0.9860607421622168,0.8814934236448221,NA,8.387717435275082,16.17227953074434,NA,6.833567961165049,6.440242718446603,NA,24.39406351235835,18.408122775778363,NA
P3066,645755.2,4569280.3,1.2077378379515598,1.066262170053366,1.005444777093596,6.568093185550081,6.405490558292283,6.335591133004927,7.973618637110016,7.941098111658458,7.927118226600987,45.04241303911957,41.98995884328703,54.01697863010135
P3067,646559.3,4569787.5,1.6356826919093852,1.1542923495145632,NA,10.512605177993528,10.351456310679614,NA,7.716386731391587,7.5068932038834975,NA,64.20486530209006,50.06347534648137,NA
P3069,647558.7,4569122.5,0.9180303535569171,0.6080414009501082,0.43838433674005267,35.67193370136362,39.52197836242935,32.55320804443301,6.299395601984811,6.460390253392129,6.760917328263307,66.49035613355751,43.5487507498489,27.365739918513388
P3070,647194.3,4569731.2,0.7838938040177968,0.4318474302847671,0.35008839742777875,15.802036565200323,12.858252507261142,6.676440045728736,5.774090373887698,6.249306889529639,6.2181195777525335,29.252088187161288,18.364305744109195,18.897694333792245
P3071,647254.4,4570306,1.4503320842705165,0.9691454282294832,0.6220997125000001,4.77117480071113,6.204061048345472,7.237500000000001,7.04845271549005,6.445132190170327,6.01,53.598275611764535,35.088754234497756,29.333862252704918
P3072,624938.1,4568099.3,0.758675749453125,0.7916500429687502,NA,6.17240234375,7.4041015625,NA,7.662078125,6.67671875,NA,33.85668028450672,34.661180467017395,NA
P3073,626005.2,4567372.9,0.638051,NA,NA,1.7,NA,NA,7.2,NA,NA,20.208288615391798,NA,NA
P3074,626035.3,4565975.1,1.2138509240375246,0.9911716419346979,NA,13.706883528265106,16.814644249512668,NA,7.77588247786985,7.652236862269432,7.785166041345386,98.16368964525611,81.69828090977853,NA
P3075,625228.7,4563380.1,1.0213568903958943,0.7741367309384165,0.7101534611436952,3.143631763555862,5.927025472945777,6.647398079466392,7.120818886205509,6.694611724455178,6.584304669081709,31.53075772533269,28.60021972104855,36.52389357651265
P3076,626365.9,4563179.7,0.9338747,NA,NA,7.6,NA,NA,7.21,NA,NA,33.52434290774501,NA,NA
P3077,625088.4,4562558.5,2.5365646516812888,0.9487171275123364,0.5478029437075935,7.270284810126581,5.95864319620253,5.671083860759492,6.84773484471689,6.84482550532338,6.163139106015097,63.73938866679505,26.244716393593297,33.82029325088646
P3079,626350.9,4562538.5,1.0427252239710851,0.6852187114394259,NA,10.1,NA,NA,6.680275432672015,6.397091599831154,NA,35.17914044185031,32.61281880819403,NA
P3080,627543.2,4563400.2,1.157069792882405,NA,NA,5.813041556145005,NA,NA,7.980002210433245,NA,NA,49.747796511692634,NA,NA
P3081,627202.5,4562633.7,0.8457386142578125,0.7562468091796877,NA,11.338932291666666,14.424609375000001,NA,7.273336262346471,6.997681340708164,7.512373163847328,69.42368715594841,63.67560242318487,NA
P3082,625744.7,4562308,1.002425623691431,0.6835684571127059,NA,11.581268467707895,18.744153651329675,NA,6.535385711270579,6.743609117771213,NA,22.31256604414529,18.585929567718317,NA
P3083,625118.4,4561696.9,1.4520518717536408,0.8655502774878642,NA,8.116080097087378,11.079733009708738,NA,7.134599514563107,6.681334951456311,NA,31.088293262990668,22.514327747112674,NA
P3084,627475.5,4561961.1,0.41728528319232466,0.32147395457041994,0.33868586015186797,8.200067012085224,5.714801633067195,2.423394160277579,7.779148759793872,7.766109322058431,8.039048390482842,35.34281961082954,23.29753806702496,21.723832614287886
P3085,626799.2,4561795.8,0.7607114542687908,0.6101244825571895,NA,5.533983760822361,7.507135578843176,0.2740832419140399,7.97133850244556,8.033414668187156,8.068698001000604,34.13084543850926,31.656366524528266,NA
P3086,626528.7,4560619.8,0.6314701103686547,0.5303485563691206,0.5665248051722058,7.668564955981552,19.75072449130965,14.480407774954855,7.184610168123868,7.360205924257686,7.47516184811788,37.21798102477239,44.95831220599022,63.83163505399474
P3087,627298.9,4560322.9,0.7139319596343874,0.3052947134258464,NA,4.177000988142293,1.5713503179240418,NA,8.072548309178746,7.647923755513548,NA,27.418262828521712,13.174346334857267,NA
P3088,625600.6,4557790.5,1.0195259335286457,0.9932048357421875,NA,8.692057291666668,24.846484375,NA,7.008834635416667,6.636738281250002,NA,44.66782029102759,45.06052851588184,NA
P3089,626216.8,4557516.2,0.8523747150703462,0.5526840938582249,NA,12.600135281385281,16.451650432900436,NA,7.138899327443645,6.843187154511768,6.686586431678311,73.46342424485331,48.00153267367637,NA
P3091,624890.5,4556054.7,NA,NA,NA,5.393290441176471,12.903492647058824,NA,NA,NA,NA,NA,NA,NA
