LabID,STATE,MUNICIPALITY,p_bray,k,ca,stratum,x,y
1697,GUANAJUATO,Penjamo,8.1,0.1,3.4,14,-101.73982039677288,20.40635457325139
1702,QUERETARO,Corregidora,7.9,0.5,1.7,14,-100.430525870192,20.397371420410167
1703,QUERETARO,Huimilpan,18.9,0.2,1,14,-100.2778122718944,20.39512563219986
1704,QUERETARO,San Juan del Rio,4,0.6,5.1,14,-100.12285288538656,20.39512563219986
1705,QUERETARO,San Juan del Rio,28.2,1.4,4.8,14,-100.04649608623777,20.39287984398955
1707,HIDALGO,Huichapan,22.1,1,1.9,14,-99.6624663022835,20.388388267568946
1711,HIDALGO,Santiago de Anaya,5.9,0.8,25.3,30,-98.96851774531352,20.3749135383071
1712,HIDALGO,Atotonilco el Grande,61.6,1.3,0,30,-98.66084476050808,20.368176173676183
1713,HIDALGO,Agua Blanca de Iturbide,0,0.3,0,30,-98.35317177570263,20.361438809045264
1714,PUEBLA,Tlacuilotepec,0,0.3,2.9,11,-97.9691419917484,20.35245565620404
1715,PUEBLA,Xicotepec,90.9,0.5,20.3,11,-97.8927851925996,20.350209867993733
1716,PUEBLA,Xicotepec,0,0.3,1.4,11,-97.81642839345078,20.347964079783427
1718,VERACRUZ,Papantla,6,0.4,3.9,10,-97.50875540864531,20.3389809269422
1719,VERACRUZ,Papantla,4.2,0.7,57.9,10,-97.35379602213747,20.334489350521583
1720,VERACRUZ,Papantla,10.5,0.5,32.8,10,-97.27743922298868,20.33224356231128
1721,VERACRUZ,Papantla,2,2.2,75.6,10,-97.20108242383988,20.329997774100978
1722,VERACRUZ,Tecolutla,16,0.3,13.2,11,-97.12472562469108,20.327751985890668
1728,JALISCO,Villa Corona,4,1.5,34.9,23,-103.7385719039032,20.323260409470056
1729,JALISCO,Villa Corona,12.9,0.8,29.4,14,-103.6622151047544,20.323260409470056
1730,JALISCO,Zacoalco de Torres,8.6,3.8,23.5,20,-103.5858583056056,20.32550619768036
1732,JALISCO,Jocotepec,11.1,0.7,31.9,14,-103.43089891909774,20.32550619768036
1733,JALISCO,Jocotepec,4.3,2.3,55.1,14,-103.35454211994896,20.327751985890668
1734,JALISCO,Chapala,70.7,0.5,9.9,14,-103.12322593429228,20.329997774100978
1735,JALISCO,Poncitlan,13.1,0.3,4.6,14,-102.89190974863564,20.329997774100978
1736,JALISCO,Jamay,NA,0.8,22.7,14,-102.66283935118923,20.33224356231128
1737,JALISCO,La Barca,12.9,1.1,30.5,20,-102.58648255204044,20.33224356231128
1739,MICHOACAN,La Piedad,29.2,0.5,32.8,14,-102.04749338157832,20.33224356231128
1740,GUANAJUATO,Penjamo,8.1,0.1,5.9,14,-101.73982039677288,20.33224356231128
1741,GUANAJUATO,Penjamo,59.6,0.1,5.7,14,-101.66346359762407,20.33224356231128
1742,GUANAJUATO,Salvatierra,13.9,1,6.7,14,-100.89315824150532,20.329997774100978
1743,GUANAJUATO,Tarimoro,22.8,1.2,6.3,20,-100.81680144235652,20.327751985890668
1744,GUANAJUATO,Jerecuaro,6,0.7,2.8,14,-100.50912845755106,20.32550619768036
1745,GUANAJUATO,Jerecuaro,12.9,0.4,1,14,-100.43277165840226,20.32550619768036
1746,QUERETARO,Huimilpan,43.7,0.2,0.7,14,-100.2778122718944,20.323260409470056
1747,QUERETARO,Huimilpan,5,0.4,2.8,14,-100.2014554727456,20.323260409470056
1749,QUERETARO,San Juan del Rio,7.9,0.6,3.5,14,-100.04649608623777,20.32101462125975
1750,QUERETARO,San Juan del Rio,2,1,4,14,-99.97013928708895,20.318768833049443
1751,QUERETARO,San Juan del Rio,6,1.1,2.9,14,-99.89378248794016,20.318768833049443
1752,HIDALGO,Huichapan,17.9,1.1,2.8,14,-99.81742568879136,20.316523044839137
1753,HIDALGO,Huichapan,7.9,1,2.8,14,-99.7388231014323,20.316523044839137
1754,HIDALGO,Chapantongo,3,0.6,2.9,14,-99.58610950313472,20.31427725662883
1755,HIDALGO,Chapantongo,3,0.3,2.9,14,-99.50975270398592,20.312031468418525
1756,HIDALGO,Chapantongo,5,0.9,3.2,14,-99.43339590483713,20.312031468418525
1763,VERACRUZ,Zihuateutla,2,0.5,1.6,11,-97.74231738251224,20.273853068843316
1764,VERACRUZ,Coahuitlan,16.1,0.4,3.8,11,-97.66371479515318,20.27160728063301
1765,VERACRUZ,Espinal,6,0.5,4.6,11,-97.4346443977068,20.264869916002088
1767,VERACRUZ,Papantla,21,0.7,23.1,10,-97.27968501119894,20.260378339581475
1768,VERACRUZ,Papantla,5,1.5,83.3,11,-97.20332821205014,20.25813255137117
1770,JALISCO,Zacoalco de Torres,9.1,0.8,33.1,14,-103.6622151047544,20.25139518674025
1771,MICHOACAN,Tanhuato,4.1,1.1,18.5,20,-102.43152316553258,20.260378339581475
1773,MICHOACAN,Numaran,66.4,0.2,22.7,14,-101.97113658242952,20.260378339581475
1775,GUANAJUATO,Penjamo,44.7,1.1,4.9,14,-101.66346359762407,20.260378339581475
1778,GUANAJUATO,Valle de Santiago,20.9,1.1,4.8,14,-101.20083122631075,20.25813255137117
1779,GUANAJUATO,Tarimoro,22.1,0.2,5.6,20,-100.74044464320772,20.255886763160863
1780,GUANAJUATO,Jerecuaro,14.9,0.3,3.4,14,-100.58548525669984,20.253640974950557
1786,MEXICO,Aculco,0,2.7,3.5,14,-99.9723850752992,20.24690361031964
1787,MEXICO,Polotitlan,4,0.8,2.7,14,-99.89378248794016,20.24690361031964
1790,HIDALGO,Chapantongo,8.9,1.1,2.9,14,-99.50975270398592,20.24016624568872
1791,HIDALGO,Huasca de Ocampo,65.6,0.5,0.1,23,-98.5889795377798,20.222199940006263
1792,HIDALGO,Metepec,65.6,0.5,0.1,30,-98.35766335212315,20.217708363585658
1793,PUEBLA,Naupan,0,0.2,7.3,30,-98.12859295467676,20.210970998954735
1794,PUEBLA,Jopala,0,0.3,0.4,27,-97.8209199698713,20.20198784611351
1796,VERACRUZ,Coxquihui,4,0.7,2.7,11,-97.58960378421465,20.1974962696929
1797,VERACRUZ,Coxquihui,4,0.7,3.8,11,-97.51324698506583,20.19525048148259
1801,VERACRUZ,Mart!nez de la Torre,0,0.8,6.5,11,-97.0528604019628,20.179529964010445
1802,VERACRUZ,Mart!nez de la Torre,33.9,0.5,7.3,11,-96.976503602814,20.17728417580014
1803,VERACRUZ,Mart!nez de la Torre,0,1.8,34.7,11,-96.89790101545496,20.175038387589833
1807,JALISCO,Tomatlan,23.8,1.7,2.2,19,-105.351047838869,20.15033471727646
1810,JALISCO,Tecolotlan,45.3,1.4,51.8,19,-104.04399910049838,20.175038387589833
1813,MICHOACAN,Puruandiro,33.8,2.5,20.2,14,-101.50850421111622,20.186267328641364
1816,GUANAJUATO,Salvatierra,24.2,1.1,5.9,14,-100.89540402971558,20.184021540431058
1817,GUANAJUATO,Tarimoro,14.9,0.4,3.7,14,-100.74044464320772,20.18177575222075
1819,GUANAJUATO,Jerecuaro,4,0.5,3.1,14,-100.51137424576132,20.18177575222075
1820,GUANAJUATO,Coroneo,7,0.5,3,14,-100.35641485925346,20.179529964010445
1821,MICHOACAN,Epitacio Huerta,5,0.5,11.6,14,-100.20370126095588,20.17728417580014
1823,QUERETARO,Amealco de Bonfil,7.9,0.2,2.7,14,-100.048741874448,20.175038387589833
