ID_SAMPLE,SOIL_TYPE,AGRICULTURAL_TYPE,STATE,MUNICIPALITY,X_COORD,Y_COORD,BRIGADE,pH,ELECTRICAL_CONDUCTIVITY,ORGANIC_MATTER,BULK_DENSITY,P,SAND_PERCENT,SILT_PERCENT,CLAY_PERCENT,TEXTURE,TEXTURE_CLASS,N,K,Ca,Mg,Na,CEC,REL_ABS_Na,ESP
3401,Vertisol,Riego,CHIHUAHUA,Janos,30.9253,-108.58349,Juarez,8.7,1.2,1.7,1.4,7.3,39.5,16.7,43.8,Arcilla,Arcillosa,0.1,0.5,42.4,5.2,10.3,36.9,0.3,0.3
3402,Xerosol,Riego,CHIHUAHUA,Janos,30.94206,-108.14576,Juarez,7.8,0.8,1.3,1.2,30.4,10.2,50,39.8,Migajon Arcillo Limoso,Franco limoso y Franco arcillo limoso,0.1,2.5,25.4,5.5,0.5,31.1,0,0
3404,yermosol,Riego,BAJA CALIFORNIA,Ensenada,30.42124,-115.86931,Mexicali,8,1.6,0.3,1.4,31.5,31.5,36.7,31.8,Migajon Arcilloso,Franco arcillo arenoso y Franco arcilloso,0.1,3.3,28.4,6.1,4.1,21.6,0.2,0.2
3406,yermosol,Riego,SONORA,Caborca,30.68833,-112.20043,Hermosillo,8.2,3.8,1.3,1.4,5.1,16.9,38,45.1,Arcilla,Arcillosa,0.1,1.7,38.6,6.5,5,33.1,0.2,0.2
3407,Xerosol,Riego,SONORA,Pitiquito,30.69974,-112.01347,Hermosillo,8.1,2.4,1.6,1.5,6.2,10.9,40,49.1,Arcilla Limosa,Arcillo arenosa y Arcillo limosa,0.1,1.3,36,6.6,2.3,26.5,0.1,0.1
3408,Xerosol,Riego,SONORA,Magdalena,30.75017,-111.14059,Hermosillo,7.9,0.6,1.3,1.6,2.1,50.9,28,21.1,Franco,Franco arenosa y franco,0.1,0.8,19.4,1,0.7,13.5,0.1,0.1
3409,Feozem,Riego,SONORA,Imuris,30.76373,-110.89107,Hermosillo,7.3,0.5,0.8,1.7,4.1,56.9,34,9.1,Migajon Arenoso,Franco arenosa y franco,0,0.1,3.2,0.7,0.2,3.3,0.1,0.1
3410,Vertisol,Riego,CHIHUAHUA,Janos,30.86891,-108.64311,Juarez,7.5,0.7,2,1.3,33.6,52.2,24,23.8,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,1.5,18.3,6.2,0.2,27.5,0,0
3411,Xerosol,Riego,CHIHUAHUA,Janos,30.88348,-108.26811,Juarez,8.1,3,1.6,1.3,11.5,47.5,14.7,37.8,Arcilla Arenosa,Arcillo arenosa y Arcillo limosa,0.1,2.6,39.5,4.9,0.6,25.2,0,0
3414,Regosol,Riego,SONORA,Caborca,30.62676,-112.32055,Hermosillo,8.7,2.1,0.5,1.6,4.1,32.9,46,21.1,Franco,Franco arenosa y franco,0,1,22.9,1.9,2.7,12.2,0.2,0.2
3416,yermosol,Riego,SONORA,Caborca,30.63448,-112.19599,Hermosillo,8,8.8,1.6,1.5,12.3,50.9,22,27.1,Migajon Arcillo Arenoso,Franco arcillo arenoso y Franco arcilloso,0.1,2.5,31.5,5.1,6.9,14.4,0.3,0.5
3417,yermosol,Riego,SONORA,Pitiquito,30.64963,-111.94682,Hermosillo,8.4,0.7,1.1,1.6,6.2,40.9,38,21.1,Franco,Franco arenosa y franco,0,0.7,27.6,2.6,1,12.7,0.1,0.1
3418,Fluvisol,Riego,SONORA,Altar,30.65336,-111.88452,Hermosillo,8.6,0.7,1.3,1.6,5.1,54.9,32,13.1,Migajon Arenoso,Franco arenosa y franco,0,0.5,27.3,1.7,0.8,7.3,0,0.1
3420,yermosol,Riego,CHIHUAHUA,Janos,30.815,-108.64022,Juarez,8.4,0.6,2,1.3,4.2,29.5,22.7,47.8,Arcilla,Arcillosa,0.1,2,43,2.8,1.3,35.5,0,0
3421,Regosol,Riego,CHIHUAHUA,Janos,30.8248,-108.39033,Juarez,NM,NM,NM,NM,NM,47.5,14.7,37.8,Arcilla Arenosa,Arcillo arenosa y Arcillo limosa,NM,NM,NM,NM,NM,NM,NM,NM
3423,Regosol,Riego,SONORA,Caborca,30.569,-112.37831,Hermosillo,8.8,0.7,0.8,1.5,12.3,8.9,34,57.1,Arcilla,Arcillosa,0.1,2.8,19.5,7,3.6,26.2,0.2,0.1
3424,yermosol,Riego,SONORA,Altar,30.59949,-111.88022,Hermosillo,8.4,0.9,0.8,1.7,15.4,60.9,22,17.1,Migajon Arenoso,Franco arenosa y franco,0,0.6,32.4,2.6,0.8,8.7,0,0.1
3425,Regosol,Riego,CHIHUAHUA,Janos,30.77088,-108.38755,Juarez,8,0.3,1.3,1.3,6.3,63.5,18.7,17.8,Migajon Arenoso,Franco arenosa y franco,0,0.6,6.2,2,0.3,10.8,0.1,0
3426,yermosol,Riego,CHIHUAHUA,Nuevo Casas Grandes,30.78713,-107.95034,Juarez,8.7,0.6,1.6,1.3,13.6,40.2,18,41.8,Arcilla,Arcillosa,0.1,2,37.9,5,1.9,31.9,0.1,0.1
3427,Solonchak,Riego,CHIHUAHUA,Ahumada,30.83409,-106.45057,Juarez,8.8,0.3,0.5,1.8,5.2,86.2,4,9.8,Arena Migajosa,Arena y Areno franco,0,0.8,18.7,1,0.1,7.8,0,0
