pid,x,y,year,kod_t
P1549,622670,4639909.6,1953,072.94
P1550,623206.2,4640598.3,1953,072.97
P1551,623572.4,4640328.1,1953,072.5
P1552,624208.9,4640201.6,1953,072.3
P1554,625813.1,4639238.2,1953,072.1
P1555,623767.4,4641530.2,1953,072.96
P1556,621256.4,4641621.7,1953,072.9A
P1557,621181.3,4642086,1953,072.9
P1558,620596,4641589,1953,072.98
P1559,619893.1,4642220,1953,072.11A
P1560,619383,4642112.1,1953,072.11
P1561,618810.9,4642269.1,1953,072.12
P1562,619657.7,4642540.5,1953,072.12A
P1563,618297.6,4641481.1,1953,072.13
P1564,618326.9,4641268.6,1953,072.14
P1566,617404.9,4641471.3,1953,072.103
P1567,616751.1,4640143.9,1953,072.105
P1568,616669.3,4641424.7,1953,072.19
P1569,616688.9,4638911.3,1953,072.106
P1570,615607.5,4639583.2,1953,072.56
P1571,615382.8,4640788.8,1953,072.17
P1572,614670,4640416.1,1953,072.18
P1573,613231.4,4640798.6,1953,072.15
P1574,613911.4,4640331.1,1953,072.16
P1575,612845.6,4640340.9,1953,072.25
P1576,612466.3,4638748.6,1953,072.48
P1577,611802.6,4638519.7,1953,072.115
P1578,614568.9,4639095.1,1953,072.53
P1579,606247.3,4634946.9,1953,072.57
P5058,612671.4,4639575.1,1953,072.26
P5812,622700.8,4638741.6,1953,072.66
P5813,618220.6,4636479.5,1953,072.74
P5477,512574.5,4549131,1954,103.2
P5478,511808,4547757.8,1954,103.61
P5479,513529.7,4546585.4,1954,103.62
P5480,515193.9,4546564.9,1954,103.32
P5481,515608,4547032.2,1954,103.10
P5482,516472.9,4547626.6,1954,103.11
P5483,516968.9,4547401.1,1954,103.12
P5484,516907.4,4546802.6,1954,103.34
P5485,517116.5,4546286.1,1954,103.33
P5486,516919.7,4547946.3,1954,103.24
P5487,515689.9,4547852,1954,103.28
P5488,517702.7,4548171.8,1954,103.13
P5489,516157.3,4548688.3,1954,103.25
P5490,516878.7,4548835.9,1954,103.26
P5491,518260.2,4547782.4,1954,103.23
P5492,519715.4,4546327.1,1954,103.19
P5493,520281.1,4546032,1954,103.37
P5494,520736.1,4544999,1954,103.40
P5495,520785.3,4545999.2,1954,103.21
P5496,521023,4546646.9,1954,103.20
P5498,521543.6,4544986.7,1954,103.44
P5499,514263.4,4548999.8,1954,103.6
P5500,515403,4548967,1954,103.27
P5501,513410.8,4548561.2,1954,103.5
