"ProfID","HorID","DepthFrom","DepthTo","CaCO3_perc","OM_perc","pH_H2O","pH_nKCl","P2O5_mg100g","K2O_mg100g","Bulk_density_gcm3","Higroscopic_water","Stones_perc","Sand_perc","Silt_perc","Clay_perc"
"P0255","P0255H01",0,30,1.5,4,8,7,6.6,20,NA,8.5,2,42,29,29
"P0299","P0299H02",40,60,12.7,1.2,NA,7.4,NA,11.7,NA,5,1,42,33,26
"P0319","P0319H03",58,72,16.2,2.4,7.8,7.2,NA,NA,NA,7.1,3,42,18,41
"P0368","P0368H02",20,45,NA,1.3,7.1,6.2,11.6,17.8,NA,2.9,0,42,24,34
"P0379","P0379H01",0,16,0,1.9,5.1,4.4,3.5,11.4,NA,2.9,8,42,21,36
"P0452","P0452H01",2,15,0,3.6,4.9,4,8.8,27.2,NA,2.4,36,42,36,22
"P0461","P0461H02",23,63,0,0.2,5,4.4,4.7,15.2,NA,1.2,48,42,38,20
"P0569","P0569H03",30,42,0,1.4,5.2,4.5,8,1,NA,6.3,2,42,51,7
"P0611","P0611H01",0,38,0,9,5.7,3.8,1.5,0,NA,7.2,13,42,51,7
"P0616","P0616H03",31,70,0,1.6,5.5,4,1,0,NA,2.6,7,42,44,14
"P0946","P0946H02",20,55,10.9,1.9,7.8,7.4,NA,NA,NA,NA,0,42,55,2
"P0955","P0955H02",11,40,13.2,1.7,7.9,7.4,NA,NA,NA,NA,0,42,47,10
"P1197","P1197H01",0,20,1,2.3,8.3,7.2,1,25,NA,NA,6,42,42,16
"P1484","P1484H03",22,40,NA,0.5,6.1,NA,NA,NA,NA,NA,NA,42,40,19
"P1552","P1552H03",39,95,12.3,1,7.7,7,1,NA,NA,6.7,11,42,35,23
"P1618","P1618H01",0,15,0,2.1,6.6,5.8,1,16.3,1.2,NA,1,42,25,34
"P1694","P1694H01",0,13,0,3,5.3,3.7,1,9.3,NA,2.2,18,42,26,32
"P1707","P1707H02",30,44,0,6.1,6.5,5.5,1,9.4,NA,2.8,22,42,38,20
"P1710","P1710H01",0,28,0,8,5.3,4.3,1,27,NA,2.7,28,42,40,18
"P1889","P1889H02",10,35,0,2.5,5.4,4.7,1,34.6,NA,3,8,42,39,19
"P1959","P1959H04",78,100,0,1.1,5.4,4.6,3.1,45.3,NA,3.2,10,42,37,21
"P2086","P2086H03",100,115,0.5,1,7.5,6.4,NA,NA,NA,NA,NA,42,55,3
"P2086","P2086H03",100,115,0.5,1,7.5,6.4,NA,NA,NA,NA,NA,42,55,3
"P2098","P2098H01",0,20,0.2,4.1,6.7,6,9,18.2,1.7,5.1,NA,42,39,19
"P2144","P2144H02",21,51,0.1,1.6,6.4,5.6,7.2,11.8,1.8,6.3,NA,42,20,38
"P2239","P2239H03",83,107,28.4,0.6,8.6,7.7,NA,NA,NA,2.9,NA,42,36,22
"P2253","P2253H01",0,17,0.4,1.3,7.8,7.1,6.2,21.6,1.7,2.1,NA,42,33,26
"P2263","P2263H03",27,57,9.6,0.6,8.2,7.3,3,17.6,1.6,7.3,NA,42,52,6
"P2336","P2336H01",0,30,7.2,4.6,8,6.9,15,22,1.2,6.4,NA,42,32,27
"P2469","P2469H02",28,62,0.2,1.3,7.2,6.3,8.8,30.4,1.4,2.9,NA,42,46,13
"P2472","P2472H03",102,125,1.2,1,7.6,6.7,NA,NA,NA,2.6,NA,42,47,11
"P2506","P2506H02",34,71,0,1.3,6,5.2,3.7,4,1.4,2.1,NA,42,45,14
"P3069","P3069H02",32,68,0,1,6.5,5.5,1,10.5,2.8,5,16,42,19,39
"P3708","P3708H04",83,105,NA,2.8,6.8,5.4,NA,NA,NA,4,NA,42,35,23
"P3844","P3844H03",68,104,0.4,0.5,7.1,6.4,NA,NA,NA,2.4,NA,42,55,3
"P3864","P3864H02",49,79,0.4,1.8,7.1,6.3,0.7,10,1.6,2.8,NA,42,32,26
"P3879","P3879H02",23,47,0,1,6.5,5.5,10.6,4.6,1.4,1.2,NA,42,52,5
"P4014","P4014H01",0,30,8.6,2.5,8.1,7.1,4.9,29.6,NA,NA,6,42,24,34
"P4035","P4035H01",0,38,9.3,2.5,7.7,6.1,7.7,22.5,NA,NA,14,42,24,34
"P4063","P4063H01",0,38,9.3,2.5,7.7,6.1,7.7,22.5,NA,NA,14,42,24,34
"P4110","P4110H01",0,28,33.9,2.6,8.3,7.1,39.6,3.8,NA,2.9,2,42,29,29
"P4429","P4429H03",55,85,30.2,0.7,8,7.4,5.6,10.8,NA,NA,4,42,35,23
"P4509","P4509H03",24,32,0,1.7,NA,NA,NA,NA,NA,2.8,2,42,44,14
"P4509","P4509H04",32,45,0,1.6,NA,NA,NA,NA,NA,3.3,0,42,48,11
"P4541","P4541H02",12,47,0.3,2.6,7.1,6.1,1,20,NA,3.4,14,42,18,40
"P4973","P4973H03",50,82,0,2.6,7,5.5,1,8.2,NA,2.9,10,42,41,17
"P5087","P5087H02",25,55,0,1.6,7.4,7.2,NA,NA,NA,NA,0,42,41,17
"P5106","P5106H03",41,70,3.5,3.9,7.9,7.6,8.2,6.4,NA,2.8,0,42,48,10
"P5217","P5217H01",0,30,0,2.8,7.3,6.5,12.3,59.8,NA,2.7,1,42,17,41
"P5443","P5443H02",15,45,0.7,1.1,8,7.1,0.4,NA,NA,2.4,2,42,54,4
"P5806","P5806H02",30,70,0,0.7,4.8,3.7,1,11.4,NA,NA,4,42,17,41
"P5856","P5856H03",51,76,28.2,0.6,8.2,7.3,4,15.8,NA,NA,1,42,15,42
"P5867","P5867H02",35,58,0,2.1,7.1,5.5,4.8,25,NA,6.7,1,42,6,53
"P5874","P5874H01",0,30,0,3.1,6.8,5.7,1.5,30,NA,6.2,2,42,17,41
"P6174","P6174H01",0,28,0,10,6.8,6.2,3.3,24.8,NA,3.4,3,42,24,34
"P6378","P6378H02",20,40,0,1.9,6.3,5.5,NA,NA,NA,1.9,0,42,46,12
"P6427","P6427H03",25,65,0,1.3,5.5,3.8,NA,NA,NA,4.8,3,42,9,49
"P6435","P6435H02",27,67,0,2,6.9,6.1,NA,NA,NA,4,9,42,28,30
"P6451","P6451H03",52,78,2.2,0.9,7.7,7,NA,NA,NA,4.4,14,42,10,49
"P6451","P6451H04",78,105,6.2,0.9,7.9,7.1,NA,NA,NA,NA,7,42,9,49
"P6499","P6499H01",0,30,0,2.7,8,7.1,NA,NA,NA,2.8,8,42,31,27
"P0031","P0031H01",0,20,0,3,6.7,6.3,NA,NA,NA,2.2,1,43,41,17
"P0031","P0031H02",20,45,0,2.5,6.9,6.6,NA,NA,NA,1.9,3,43,39,18
"P0526","P0526H03",47,60,21,1.2,7.8,6.7,NA,NA,NA,4.3,60,43,38,20
"P0574","P0574H03",36,50,0,1.4,4.5,3.6,8.7,1,NA,5.5,3,43,39,19
"P0643","P0643H02",20,40,0,1.4,5,3.6,1,8.8,NA,2.3,14,43,39,18
"P0901","P0901H02",20,40,9.6,3.1,8.9,7.9,1.1,NA,NA,NA,1,43,49,8
"P0955","P0955H01",0,11,9.2,3.2,7.8,7.2,1,NA,NA,NA,0,43,48,9
"P1125","P1125H01",0,50,4.3,3.3,7.4,7,6,NA,NA,NA,5,43,43,14
"P1141","P1141H02",18,30,46,1.2,7.9,7.2,1,12.8,NA,NA,2,43,45,13
"P1552","P1552H01",0,12,0,2.8,6.9,6.2,1,NA,NA,5.3,6,43,32,24
"P1607","P1607H02",25,55,0,0.9,6.4,5.5,1,12.5,1.4,6.4,19,43,7,50
"P1673","P1673H03",51,80,0,0.9,5.5,4.7,4.3,3.6,NA,NA,24,43,42,16
"P1718","P1718H02",25,56,0,4.8,5.2,4.4,2.2,8.9,NA,1.8,17,43,40,17
"P1743","P1743H03",52,80,0,2.3,6.5,5.5,1,3.5,NA,2.8,20,43,21,37
"P1790","P1790H02",11,53,0,1.7,5,3.8,5,25.9,NA,3,5,43,31,26
"P1807","P1807H01",0,25,0,3.9,NA,NA,0.4,NA,NA,1.9,39,43,41,16
"P1959","P1959H03",50,78,0,1.1,5.3,4.7,4.3,36.8,NA,2.1,12,43,41,17
"P1968","P1968H02",20,55,0,2.2,5.8,4.9,4.9,35.8,NA,2.6,35,43,42,15
"P2075","P2075H01",0,25,0,2.9,5.9,5,1,17,1.8,3.4,NA,43,34,23
"P2127","P2127H02",25,54,0.1,0.8,5.9,4.7,0.4,7.4,1.2,2.2,NA,43,51,7
"P2147","P2147H03",72,98,0.5,1.6,7.4,6.8,NA,NA,NA,4.5,NA,43,33,24
"P2259","P2259H01",0,35,0.1,1.3,7.3,6.4,10.4,16.6,1.6,4.6,NA,43,20,37
"P2411","P2411H02",37,75,4.8,1.4,7.6,6.7,7,20,1.6,5,NA,43,31,26
"P2460","P2460H01",0,23,0.1,2,7.1,6.3,11.6,8.4,1.3,2.4,NA,43,51,6
"P2465","P2465H03",74,106,1.2,0.8,7.3,6.7,NA,NA,NA,2.8,NA,43,55,3
"P2753","P2753H02",11,40,0,2.2,6.5,5.2,1.6,7.8,NA,5.6,6,43,25,33
"P3060","P3060H03",66,100,0,1.4,6.6,5.8,1,5.9,NA,2.5,11,43,35,22
"P3169","P3169H01",0,35,0,3.1,6.4,5.2,23.2,88.4,NA,3.6,7,43,22,35
"P3358","P3358H01",0,19,0,2.2,7.3,5.7,1.4,29.9,NA,3,5,43,28,30
"P3368","P3368H01",0,22,2.2,3.4,7.5,6.3,41.2,41.2,NA,2.8,23,43,21,36
"P3396","P3396H02",43,71,0.2,1,6,6.2,0.4,7.4,1.7,3.5,NA,43,32,25
"P3650","P3650H01",0,40,0.2,5.1,6.1,4.4,10.8,24.5,1.3,4.5,NA,43,35,22
"P3656","P3656H01",0,41,NA,5.1,6,4.8,8,21.8,1.2,4.5,NA,43,33,24
"P3815","P3815H03",72,98,0.5,1.6,7.4,6.8,NA,NA,NA,4.5,NA,43,33,24
"P3857","P3857H03",87,128,0.1,1.2,6.5,5.8,NA,NA,NA,3.5,NA,43,33,25
"P3996","P3996H01",0,25,0,2.5,NA,NA,3.2,25,NA,2.9,18,43,26,32
"P3996","P3996H03",50,71,2.2,2.7,NA,NA,2.3,25,NA,2.9,16,43,26,31
"P4065","P4065H02",8,45,0,2.6,6.3,4.6,1,21,NA,NA,2,43,29,27
"P4078","P4078H01",0,35,2.1,2.8,7.9,6.8,21.8,49.4,NA,NA,2,43,20,37
"P4098","P4098H02",25,56,30.3,1.7,8.3,7.5,1.8,25.4,NA,1.7,0,43,36,21
"P4130","P4130H01",0,27,18.2,1.6,8.4,7.2,22.2,13.2,NA,3.9,18,43,31,26
"P4445","P4445H02",20,51,0,1.9,6.3,4.9,2.8,38.9,NA,NA,2,43,18,38
"P4561","P4561H01",0,27,0.2,2.7,7.5,7,4.1,7.8,NA,2.1,18,43,41,15
"P4561","P4561H01",0,27,0.1,2,6.5,5.5,1.2,4.9,NA,2.1,18,43,41,15
"P4597","P4597H01",0,20,0.2,3.3,5.8,5.4,0.9,18.2,NA,2.4,1,43,37,21
"P4934","P4934H04",33,44,0,1.1,4.7,3.6,1.3,15.2,1.5,4.3,2,43,11,46
"P5065","P5065H01",0,14,16.4,NA,7.3,7.1,1,NA,NA,NA,0,43,48,9
"P5087","P5087H03",55,75,0,0.9,7.9,7.3,NA,NA,NA,NA,1,43,38,19
"P5143","P5143H01",0,28,3.9,2.6,8,6.9,5.8,29,NA,3.5,3,43,17,41
"P5187","P5187H04",75,90,4.2,1.7,7.7,6.7,1,22,NA,4.8,5,43,18,39
"P5276","P5276H03",60,78,0,1.8,8.4,7,1,39,NA,3.6,4,43,15,42
"P5451","P5451H01",0,20,0,2.4,7.4,7,2.8,NA,NA,2.5,7,43,54,4
"P5874","P5874H02",38,63,1.1,1.9,8,6.5,4.4,18.6,NA,7.6,4,43,15,43
"P5975","P5975H03",60,90,0,1.3,7.3,6.7,NA,NA,NA,5.8,7,43,15,43
"P5991","P5991H04",70,100,44.3,0.8,8,7,10,16.7,NA,3.3,1,43,33,25
"P6173","P6173H01",0,23,0,9.6,6.6,6.2,3.5,25.6,NA,3.5,3,43,22,34
"P6212","P6212H01",0,23,0,4.8,6.3,5.9,NA,NA,NA,4.2,3,43,19,38
"P6221","P6221H03",65,100,0,0.7,5.4,5.1,NA,NA,NA,5.5,6,43,9,48
