pid,hid,hor_no,top,bottom,hor_code,hor_mk,mak,caco3,humus,total_N,ph_h2o,ph_kcl,ap,ak,Y1,sum_bases,cec,base_sat,bd,Real_density,h_water,porosity,wp,fc,ret_cap,air_cap,coarse_frag,clay,silt,Fine_sand,Coarse_sand,total,sand
P6249,P6249H01,1,0,25,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.01,NA,8.18,7.27,NA,NA,5.1,27.36,28.259999999999998,96.81528662420382,NA,NA,2.17,NA,NA,NA,NA,NA,22.12,10.7,19.5,44.9,24.9,100,69.8
P6250,P6250H01,1,0,22,H01-40,A/E,Mesovit humusno-akumulativen/eluvijalen horizont,0,2.27,NA,7.99,6.93,NA,NA,5.6,14.44,15.34,94.13298565840938,NA,NA,2.32,NA,NA,NA,NA,NA,23.3,28.7,20.5,36.24,14.56,100.00000000000001,50.800000000000004
P6250,P6250H02,2,22,70,H01-18,(B),"Kambicen horizont obrazuvan ""in situ""",0,0.02,NA,8.56,7.04,NA,NA,2,14.16,14.46,97.9253112033195,NA,NA,0.25,NA,NA,NA,NA,NA,16.12,33.2,17,32.2,17.6,100.00000000000001,49.800000000000004
P6251,P6251H01,1,0,20,H01-38,(A),Inicijalen slabo razvien humusno-akumulativen  horizont,0,1.62,NA,8.39,7.35,NA,NA,2,9.44,9.74,96.91991786447637,NA,NA,0.95,NA,NA,NA,NA,NA,4.96,7.2,7,66.43,19.37,100.00000000000001,85.80000000000001
P6251,P6251H02,2,20,50,H01-45,IIC,Geoloski sloj,0,1.27,NA,8.42,7.55,NA,NA,2,9.44,9.74,96.91991786447637,NA,NA,0.72,NA,NA,NA,NA,NA,12.6,5.2,7,60.57,27.23,100,87.8
P6252,P6252H01,1,0,18,H01-08,Aum,Umbricen horizont A,0,1.79,NA,6.33,5.11,NA,NA,20.1,0.92,4.42,20.81447963800905,NA,NA,0.51,NA,NA,NA,NA,NA,18.02,4.7,8,56.52,30.78,100.00000000000001,87.30000000000001
P6252,P6252H02,2,18,61,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,0.74,NA,6.61,5.07,NA,NA,14.6,NA,0,NA,NA,NA,0.49,NA,NA,NA,NA,NA,20.68,4.7,13.5,54.07,27.73,100,81.8
P6253,P6253H01,1,0,28,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,2.26,NA,7.22,6.27,NA,NA,15.3,11.36,13.959999999999999,81.37535816618912,NA,NA,2.03,NA,NA,NA,NA,NA,9.76,28.7,12,45.97,13.33,100,59.3
P6253,P6253H02,2,28,65,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,1.24,NA,6.98,5.39,NA,NA,27.1,24.28,28.98,83.78191856452726,NA,NA,6.07,NA,NA,NA,NA,NA,6.96,73.2,4,17.1,5.7,100,22.8
P6253,P6253H03,3,65,100,H01-41,(B)vC,Preoden horizont od kambicen horizont kon rastresit maticen supstrat,0,0.65,NA,7.45,6.2,NA,NA,13.3,28.84,31.14,92.61400128452152,NA,NA,5.76,NA,NA,NA,NA,NA,3.68,68.2,5,18.93,7.87,100,26.8
P6254,P6254H01,1,0,34,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,0,1.59,NA,6.36,5.01,NA,NA,22.7,5.84,9.74,59.95893223819302,NA,NA,0.75,NA,NA,NA,NA,NA,2.24,9.7,24,60.96,5.34,100,66.3
P6254,P6254H02,2,34,72,H01-45,IIC,Geoloski sloj,0,0.96,NA,7.03,5.68,NA,NA,12.6,10.84,13.04,83.12883435582823,NA,NA,1.04,NA,NA,NA,NA,NA,3.52,9.2,23,62.6,5.2,100,67.8
P6254,P6254H03,3,72,99,H01-46,IIIC,Geoloski sloj,0,0.76,NA,4.72,6.25,NA,NA,5.5,12.52,13.42,93.2935916542474,NA,NA,0.98,NA,NA,NA,NA,NA,4.1,6.2,17.5,64.47,11.83,100,76.3
P6254,P6254H04,4,99,130,H01-47,IVC,Geoloski sloj,0,0.81,NA,8.39,7.2,NA,NA,2.5,22.12,22.52,98.22380106571936,NA,NA,1.32,NA,NA,NA,NA,NA,4.44,11.2,33,47.9,7.9,100,55.8
P6255,P6255H01,1,0,30,H01-11,Ap,Izmenet horizont A (so obrabotka na pocvata),0,2.46,NA,7.62,6.55,NA,NA,7.2,27.44,28.740000000000002,95.47668754349338,NA,NA,3.21,NA,NA,NA,NA,NA,0.32,42.2,13,36.29,8.51,100,44.8
P6255,P6255H02,2,30,70,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,1.5,NA,8.88,7.72,NA,NA,2.1,33.68,34.08,98.82629107981221,NA,NA,3.49,NA,NA,NA,NA,NA,1.14,45.2,12,31.14,11.66,100,42.8
P6255,P6255H03,3,70,100,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,28.74,0.53,NA,9.12,8.4,NA,NA,NA,NA,0,NA,NA,NA,2.4,NA,NA,NA,NA,NA,0.52,49.7,15,31.27,4.03,100,35.3
P6256,P6256H01,1,0,30,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,0,0.89,NA,7.08,6.08,NA,NA,7,5.6,6.8,82.35294117647058,NA,NA,0.52,NA,NA,NA,NA,NA,11.1,8.2,1.5,65.83,24.47,100,90.3
P6256,P6256H02,2,30,50,H01-45,IIC,Geoloski sloj,0,0.69,NA,6.96,5.82,NA,NA,7.5,3.04,4.34,70.04608294930877,NA,NA,0.7,NA,NA,NA,NA,NA,8.66,12.2,10,51.93,25.87,100,77.8
P6256,P6256H03,3,50,85,H01-46,IIIC,Geoloski sloj,0,0.74,NA,7.74,6.58,NA,NA,5.1,10.8,11.700000000000001,92.3076923076923,NA,NA,1.2,NA,NA,NA,NA,NA,5.2,18.2,18,34.02,29.78,100.00000000000001,63.800000000000004
P6256,P6256H04,4,85,105,H01-47,IVC,Geoloski sloj,0,0.62,NA,7.92,6.76,NA,NA,3.5,15.2,15.799999999999999,96.20253164556962,NA,NA,1.22,NA,NA,NA,NA,NA,6.96,22.2,14.5,39.47,23.83,100,63.3
P6257,P6257H01,1,0,25,H01-38,(A),Inicijalen slabo razvien humusno-akumulativen  horizont,0,1.94,NA,6.81,5.82,NA,NA,9.1,4.72,6.32,74.68354430379746,NA,NA,0.72,NA,NA,NA,NA,NA,7.5,7.2,10,51.62,31.18,100,82.8
P6257,P6257H02,2,25,54,H01-45,IIC,Geoloski sloj,0,0.92,NA,6.67,5.77,NA,NA,8,6.88,8.28,83.09178743961353,NA,NA,0.6,NA,NA,NA,NA,NA,7.88,9.7,9.5,49.81,30.99,100,80.8
P6257,P6257H03,3,54,75,H01-46,IIIC,Geoloski sloj,0,0.32,NA,7.36,6.47,NA,NA,4.5,6.88,7.68,89.58333333333334,NA,NA,0.57,NA,NA,NA,NA,NA,19.9,11.2,10,45.14,33.66,100,78.8
