pid,hid,hor_no,top,bottom,hor_code,hor_mk,mak,caco3,humus,total_N,ph_h2o,ph_kcl,ap,ak,Y1,sum_bases,cec,base_sat,bd,Real_density,h_water,porosity,wp,fc,ret_cap,air_cap,coarse_frag,clay,silt,Fine_sand,Coarse_sand,total,sand
P0084,P0084H01,1,0,12,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.32,0.14,4.47,3.37,1,8.22,36.7,22.23,34.16,65.07611241217799,NA,NA,1.45,NA,NA,NA,NA,NA,33.68,9.44,22.96,42.83,24.77,100,67.6
P0084,P0084H02,2,12,32,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,2.19,0.11,4.3,3.17,1,5.48,36.68,18.77,30.689999999999998,61.15998696643858,NA,NA,1.41,NA,NA,NA,NA,NA,33.3,9.41,39.25,23.03,28.31,100,51.34
P0085,P0085H01,1,0,10,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,6.12,0.28,5.85,4.97,1,25,17.43,20.12,25.79,78.01473439317566,NA,NA,2.04,NA,NA,NA,NA,NA,30.67,4.17,11.28,54.04,30.51,100,84.55
P0086,P0086H01,1,0,15,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.82,0.19,5.55,4.57,1,9.13,23.69,8.35,16.05,52.024922118380054,NA,NA,2.47,NA,NA,NA,NA,NA,14.56,3.28,21.57,47.129999999999995,28.02,100,75.14999999999999
P0087,P0087H01,1,0,16,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.17,0.16,6.08,4.67,1,11.02,14.21,7.82,12.440000000000001,62.86173633440514,NA,NA,1.05,NA,NA,NA,NA,NA,37.61,6.78,21.73,35.86,35.63,100.00000000000001,71.49000000000001
P0088,P0088H01,1,0,17,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,12.86,5.56,0.3,7.82,6.94,20,25,NA,NA,0,NA,NA,NA,3.32,NA,NA,NA,NA,NA,31.52,10.5,28.6,36.48,24.42,100,60.9
P0088,P0088H02,2,17,35,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,14.55,5.06,0.27,7.82,6.84,20,25,NA,NA,0,NA,NA,NA,3.38,NA,NA,NA,NA,NA,27.76,35.82,26.55,21.72999999999999,15.9,100,37.62999999999999
P0089,P0089H01,1,0,18,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.91,0.19,5.7,4.72,1,15.07,17.39,10.52,16.17,65.05875077303648,NA,NA,1.79,NA,NA,NA,NA,NA,30.92,1.49,19.53,30.000000000000014,48.98,100.00000000000001,78.98000000000002
P0089,P0089H02,2,18,33,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,2.9,0.17,5.6,4.52,1,9.88,17.38,9.71,15.360000000000001,63.216145833333336,NA,NA,1.77,NA,NA,NA,NA,NA,34.13,8.93,31.01,23.439999999999998,36.62,100,60.059999999999995
P0090,P0090H01,1,0,15,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,2.16,0.1,3.8,2.97,1,10.64,41.75,3.8,17.37,21.876799078871613,NA,NA,1.35,NA,NA,NA,NA,NA,30.03,5.29,23.73,47.68,23.3,100.00000000000001,70.98
P0090,P0090H02,2,15,27,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,1.8,0.08,4.72,3.42,1,6.49,27.49,5.62,14.55,38.62542955326461,NA,NA,1.33,NA,NA,NA,NA,NA,27.3,7.69,23.63,45.39,23.29,100,68.68
P0091,P0091H01,1,0,16,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,5.04,0.25,6.4,5.27,1,14.78,19.58,16.34,22.7,71.98237885462555,NA,NA,2.56,NA,NA,NA,NA,NA,33.46,8.56,27.96,39.839999999999996,23.64,100,63.48
P0091,P0091H02,2,16,34,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,2.83,0.15,5.8,5.2,1,8.95,26.87,15.35,24.08,63.74584717607974,NA,NA,2.79,NA,NA,NA,NA,NA,43.74,7.67,34,35.760000000000005,22.57,100.00000000000001,58.330000000000005
P0092,P0092H01,1,0,15,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.47,0.16,4.99,NA,1.22,15.67,28.62,7.07,16.37,43.18875992669518,NA,NA,1.72,NA,NA,NA,NA,NA,20.47,6.08,16.79,44.410000000000004,32.72,99.99999999999999,77.13
P0092,P0092H02,2,15,32,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,1.57,0.09,4.21,3.04,1,8.9,46.24,8.73,23.759999999999998,36.74242424242425,NA,NA,2.23,NA,NA,NA,NA,NA,25.3,10.19,20.11,42.400000000000006,27.3,100,69.7
P0092,P0092H03,3,32,53,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,1.08,0.06,4.21,2.94,1,10.65,43,15.37,29.35,52.3679727427598,NA,NA,4.23,NA,NA,NA,NA,NA,10.16,20.6,17.01,43.15,19.24,100,62.39
P0092,P0092H04,4,53,84,H01-21,C,Rastresit maticen supstrat,0,0.74,0.05,4.09,2.84,1,6.41,43.61,15.42,29.59,52.1122000675904,NA,NA,3.26,NA,NA,NA,NA,NA,21.55,5.09,11.59,48.56,34.76,100,83.32
P0093,P0093H01,1,0,12,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,6.62,0.24,6.49,5.47,1,16.14,12.55,30.49,34.57,88.19785941567832,NA,NA,3.96,NA,NA,NA,NA,NA,29.21,8.71,25.78,43.11,22.4,100,65.50999999999999
P0093,P0093H02,2,12,27,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,4.57,0.17,5.83,4.87,1,9.41,14.18,29.36,33.97,86.42920223726817,NA,NA,4.35,NA,NA,NA,NA,NA,41,13.14,25.31,37.230000000000004,24.32,100,61.550000000000004
P0094,P0094H01,1,0,13,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,6.29,0.32,5.85,5.12,2.28,17.2,12.49,29.31,33.37,87.83338327839377,NA,NA,3.51,NA,NA,NA,NA,NA,34.62,9.95,27.39,30.47,32.19,100,62.66
P0094,P0094H02,2,13,24,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,3.22,0.19,6,4.89,1,6.1,14.56,23.28,28.01,83.11317386647626,NA,NA,3.35,NA,NA,NA,NA,NA,40.59,8.54,27.9,34.620000000000005,28.94,100,63.56
P0095,P0095H01,1,0,14,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,5.81,0.27,5.85,5.17,1,15.11,17.92,33.45,39.27,85.17952635599696,NA,NA,4.71,NA,NA,NA,NA,NA,54.94,9.21,24.99,36.35,29.45,100,65.8
P0095,P0095H02,2,14,28,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,5.29,0.25,5.85,5.12,1,16.91,13.71,30.95,35.4,87.42937853107344,NA,NA,4.76,NA,NA,NA,NA,NA,47.72,14.6,21.73,37.54,26.13,100,63.67
P0096,P0096H01,1,0,10,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.15,0.19,5.98,5.2,3.72,6.41,11.43,28.22,31.93,88.38083307234575,NA,NA,3.32,NA,NA,NA,NA,NA,44.29,6.95,12.94,46.39,33.72,100,80.11
P0097,P0097H01,1,0,13,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,7.97,0.35,6.2,5.1,1.94,19.01,24.64,14.84,22.85,64.94529540481399,NA,NA,2.17,NA,NA,NA,NA,NA,45.71,4.84,27.97,32.83,34.36,100,67.19
P0097,P0097H02,2,13,27,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,4.11,0.24,5.75,4.5,1,14.33,24.51,9.69,17.65,54.900849858356935,NA,NA,1.67,NA,NA,NA,NA,NA,38.08,5.11,26.36,31.39999999999999,37.13,100,68.53
P0098,P0098H01,1,0,18,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,8.99,0.46,4.77,3.78,1.65,22.19,70.5,7.99,30.9,25.85760517799353,NA,NA,3.1,NA,NA,NA,NA,NA,49.73,7.75,20.1,26.74000000000001,45.41,100,72.15
P0099,P0099H01,1,0,10,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,11.53,10.4,0.55,7.62,6.71,1,25,NA,NA,0,NA,NA,NA,6.89,NA,NA,NA,NA,NA,47.95,6.2,38.87,49.15,5.78,100,54.93
P0100,P0100H01,1,0,16,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,9.13,0.5,5.52,4.18,3.87,12.31,61.35,13.97,33.910000000000004,41.197286936007075,NA,NA,1.74,NA,NA,NA,NA,NA,50.3,1.99,19.2,38.160000000000004,40.65,100,78.81
P0100,P0100H02,2,16,37,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,7.55,0.33,5.17,3.73,1.12,7.67,60.6,4.04,23.73,17.024863042562156,NA,NA,2.19,NA,NA,NA,NA,NA,44.22,5.02,25.08,41.91000000000001,27.99,100,69.9
P0101,P0101H01,1,0,18,H01-38,(A),Inicijalen slabo razvien humusno-akumulativen  horizont,0,1.59,0.08,5.73,4.65,1.95,3.08,11.85,18.99,22.84,83.14360770577933,NA,NA,2.54,NA,NA,NA,NA,NA,35.34,7.69,13.98,50.39,27.94,100,78.33
P0102,P0102H01,1,0,17,H01-38,(A),Inicijalen slabo razvien humusno-akumulativen  horizont,0,1.47,0.1,5.48,4.45,1,4.07,11.24,16.39,20.04,81.78642714570859,NA,NA,1.67,NA,NA,NA,NA,NA,17.43,3.36,11.94,53.58,31.12,100,84.7
P0103,P0103H01,1,0,15,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,2.74,0.13,5.83,4.95,1,8.96,12.27,12.75,16.740000000000002,76.16487455197132,NA,NA,1.77,NA,NA,NA,NA,NA,20.45,4.81,21.33,51.14,22.72,100,73.86
P0103,P0103H02,2,15,32,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,2.12,0.08,5.77,4.75,1,7.04,9.23,11.56,14.56,79.3956043956044,NA,NA,2.01,NA,NA,NA,NA,NA,20.05,10.27,23.49,40.66000000000001,25.58,100,66.24000000000001
P0104,P0104H01,1,0,14,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,1.78,0.12,5.73,4.45,1.01,12.92,14.7,5.4,10.18,53.04518664047152,NA,NA,0.9,NA,NA,NA,NA,NA,23.91,4.48,11.19,32.18000000000001,52.15,100.00000000000001,84.33000000000001
P0104,P0104H02,2,14,29,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,1.27,0.05,6.13,5.25,1,11.62,8.12,7.22,9.86,73.22515212981745,NA,NA,1.08,NA,NA,NA,NA,NA,30.81,5.67,11.99,27.299999999999997,55.04,100,82.34
P0105,P0105H01,1,0,12,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.4,0.22,7.69,6.25,1,8.63,4.65,25.59,27.1,94.4280442804428,NA,NA,2.65,NA,NA,NA,NA,NA,14.67,10.15,26.32,38.220000000000006,25.31,100,63.53
P0105,P0105H02,2,12,37,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,7.65,3.14,0.16,7.89,6.81,1,8.23,NA,NA,0,NA,NA,NA,2.75,NA,NA,NA,NA,NA,24.93,8.62,28.16,33.22,30,100,63.22
P0106,P0106H01,1,0,22,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.3,0.13,6.76,5.41,3.68,23.82,10.78,15.87,19.369999999999997,81.93082085699535,NA,NA,2.2,NA,NA,NA,NA,NA,18.47,11.64,23.2,39.56,25.6,100,65.16
P0106,P0106H02,2,22,36,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,2.83,0.13,6.51,5.11,1,18.19,10.84,16.97,20.49,82.82088823816495,NA,NA,2.7,NA,NA,NA,NA,NA,11.18,16.73,21.62,42.769999999999996,18.88,100,61.64999999999999
P0106,P0106H03,3,36,50,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,1.29,0.06,6.18,5.01,1,16.8,15.2,22.43,27.37,81.95104128607964,NA,NA,4.14,NA,NA,NA,NA,NA,11.58,24.92,22.69,35.120000000000005,17.27,100,52.39
P0107,P0107H01,1,0,22,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,2.72,0.1,5.33,4.6,1,21.67,16.59,18.69,24.080000000000002,77.61627906976744,NA,NA,3.1,NA,NA,NA,NA,NA,26.31,19.87,25.94,35.17,19.02,100,54.19
P0107,P0107H02,2,22,33,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,1.84,0.08,5.38,4.45,1,18.15,16.67,20.23,25.65,78.86939571150097,NA,NA,3.57,NA,NA,NA,NA,NA,15.74,17.38,31.35,35.790000000000006,15.48,100,51.27000000000001
P0107,P0107H03,3,33,70,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,1.22,0.07,4.95,3.88,1,14.57,18.96,24.21,30.37,79.71682581494896,NA,NA,4.61,NA,NA,NA,NA,NA,12.93,29.56,28.32,30,12.12,100,42.12
P0108,P0108H01,1,0,25,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,17.37,3.62,0.18,7.77,6.74,1,25,NA,NA,0,NA,NA,NA,5.03,NA,NA,NA,NA,NA,1.13,22.77,41.87,16.17,19.19,99.99999999999999,35.36
P0108,P0108H02,2,25,40,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,23.35,3.18,0.15,7.92,7.34,1,25.65,NA,NA,0,NA,NA,NA,4.49,NA,NA,NA,NA,NA,0.94,25.54,46.53,23.099999999999994,4.83,100,27.929999999999993
P0108,P0108H03,3,40,62,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,34.64,1.88,0.1,8.02,6.64,1,18.3,NA,NA,0,NA,NA,NA,6.03,NA,NA,NA,NA,NA,0.62,23.56,51.28,21.930000000000007,3.23,100.00000000000001,25.160000000000007
P0109,P0109H01,1,0,16,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.62,0.17,5.53,5.15,1,22.83,11.36,21.7,25.39,85.46671918077983,NA,NA,2.27,NA,NA,NA,NA,NA,6.46,13.24,29.28,42.46,15.02,100,57.480000000000004
P0109,P0109H02,2,16,35,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,29.7,2.22,0.11,7.01,5.93,1,25,NA,NA,0,NA,NA,NA,2.34,NA,NA,NA,NA,NA,4.15,11.44,42.01,36.42,10.13,100,46.550000000000004
P0110,P0110H01,1,0,16,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,3.81,4.79,0.21,7.34,6.35,1,21.81,NA,NA,0,NA,NA,NA,3.7,NA,NA,NA,NA,NA,8.62,12.63,31.82,38.51,17.04,100,55.55
P0110,P0110H02,2,16,37,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,0,2.48,0.11,6.64,4.87,1,18.06,10.43,22.74,26.13,87.0264064293915,NA,NA,3.68,NA,NA,NA,NA,NA,9.15,15.16,20.24,47.96000000000001,16.64,100,64.60000000000001
P0111,P0111H01,1,0,18,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.72,0.22,6.54,5.17,1,20.45,14.53,22.42,27.14,82.6086956521739,NA,NA,3.19,NA,NA,NA,NA,NA,11.04,11.44,35.2,33.879999999999995,19.48,100,53.36
P0111,P0111H02,2,18,41,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,2.45,0.17,6.64,4.77,1,16.34,12.47,22.45,26.5,84.71698113207546,NA,NA,3.32,NA,NA,NA,NA,NA,9.55,15.81,41.22,31.070000000000007,11.9,100,42.970000000000006
P0111,P0111H03,3,41,55,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,0,1.54,0.13,7.09,5.45,1,14.77,10.38,22.83,26.2,87.13740458015266,NA,NA,3.2,NA,NA,NA,NA,NA,4.28,16.26,42.33,33.019999999999996,8.39,100,41.41
P0112,P0112H01,1,0,25,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,20.94,3.4,0.28,8.02,6.99,1,22.03,NA,NA,0,NA,NA,NA,3.78,NA,NA,NA,NA,NA,13.65,18.61,34.78,33.49000000000001,13.12,100.00000000000001,46.61000000000001
P0112,P0112H02,2,25,37,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,14.46,3.28,0.19,8.07,6.94,1,15.98,NA,NA,0,NA,NA,NA,4.21,NA,NA,NA,NA,NA,20.98,15.79,30.08,36.68,17.45,100,54.129999999999995
P0112,P0112H03,3,37,70,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,32.92,1.53,0.09,8.22,7.34,1.45,7.12,NA,NA,0,NA,NA,NA,3.16,NA,NA,NA,NA,NA,10.11,12.28,40.32,36.019999999999996,11.38,100,47.4
P0114,P0114H01,1,0,16,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.4,0.22,6.74,5.5,1,23.86,17.56,18.42,24.130000000000003,76.33651056775797,NA,NA,2.76,NA,NA,NA,NA,NA,15.13,20.05,23.92,37.95,18.08,100,56.03
P0114,P0114H02,2,16,35,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,2.67,0.18,6.44,4.97,1,17.11,13.54,22.91,27.310000000000002,83.88868546320029,NA,NA,3.54,NA,NA,NA,NA,NA,18.98,13.91,29.14,41.93000000000001,15.02,100,56.95
P0115,P0115H01,1,0,22,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,53.05,2.02,0.11,6.74,5.45,1,25,NA,NA,0,NA,NA,NA,5,NA,NA,NA,NA,NA,0.74,21.39,48.08,22.67,7.86,100,30.53
P0116,P0116H01,1,0,23,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,7.16,1.56,0.11,8.32,7.42,1,5.56,NA,NA,0,NA,NA,NA,1.15,NA,NA,NA,NA,NA,0.2,2.3,12.97,83.37,1.36,100,84.73
P0116,P0116H02,2,23,36,H01-44,A/Go,Mesovit humusno-akumulativeni sekundarno oksidiran gleen horizont,2.01,1.05,0.07,8.22,7.52,1,3.95,NA,NA,0,NA,NA,NA,1.06,NA,NA,NA,NA,NA,6.77,0.77,13.55,80.38,5.3,99.99999999999999,85.67999999999999
P0116,P0116H03,3,36,55,H01-45,IIC,Geoloski sloj,8.37,0.73,0.03,8.45,7.62,1.42,4.87,NA,NA,0,NA,NA,NA,1.33,NA,NA,NA,NA,NA,0.36,1.29,13.98,83.58,1.15,100.00000000000001,84.73
P0117,P0117H01,1,0,13,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,22.78,5.8,0.26,8.22,7.19,1,12.76,NA,NA,0,NA,NA,NA,2.07,NA,NA,NA,NA,NA,0,5.8,23.5,45.74,24.96,100,70.7
P0118,P0118H01,1,0,18,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,5.27,0.22,6.66,5.65,1,3.91,12.42,22.97,27,85.07407407407406,NA,NA,2.92,NA,NA,NA,NA,NA,16.72,16.98,19.18,32.980000000000004,30.86,100.00000000000001,63.84
P0118,P0118H02,2,18,43,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,4.16,0.21,6.76,5.37,1,16.56,13.48,23.01,27.39,84.00876232201534,NA,NA,2.2,NA,NA,NA,NA,NA,39.68,19.1,14.76,30.049999999999997,36.09,100,66.14
P0119,P0119H01,1,0,20,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,12.26,3.6,0.16,8.17,7.52,1,18.96,NA,NA,0,NA,NA,NA,1.9,NA,NA,NA,NA,NA,15.94,9.79,28.56,43.36000000000001,18.29,100,61.650000000000006
P0119,P0119H02,2,20,43,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,23.22,1.84,0.09,8.55,7.82,1,8.62,NA,NA,0,NA,NA,NA,1.37,NA,NA,NA,NA,NA,18.7,9.68,26.66,46.76,16.9,100,63.66
P0120,P0120H01,1,0,17,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.47,0.11,5.39,4.59,1,14.83,13.6,16.43,20.85,78.8009592326139,NA,NA,2.93,NA,NA,NA,NA,NA,10.05,17.95,20.86,36.86,24.33,100,61.19
P0120,P0120H02,2,17,37,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,1.6,0.08,5.19,4.59,1,14.78,NA,NA,0,NA,NA,NA,3.93,NA,NA,NA,NA,NA,7.32,24.09,23.71,34.120000000000005,18.08,100,52.2
P0120,P0120H03,3,37,53,H01-19,(B)v,"Horizont nastanat so hidroliticko raspagjanje na primarnite minerali ""in situ""",0,1.04,0.06,4.39,3.41,1,17.01,NA,NA,0,NA,NA,NA,4.79,NA,NA,NA,NA,NA,8.9,31.63,22.8,28.680000000000007,16.89,100,45.57000000000001
P0122,P0122H01,1,0,20,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,28.21,8.7,0.3,7.85,7.01,1,25.2,NA,NA,0,NA,NA,NA,4.74,NA,NA,NA,NA,NA,14.92,14.35,33.95,40.63999999999999,11.06,100,51.699999999999996
P0122,P0122H02,2,20,46,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,48.59,5.52,0.21,8,7.06,1,13.56,NA,NA,0,NA,NA,NA,3.43,NA,NA,NA,NA,NA,21.38,29.26,32.77,26.289999999999992,11.68,100,37.96999999999999
P0123,P0123H01,1,0,30,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,7.15,3.96,0.19,8.1,6.89,9.39,23.42,NA,NA,0,NA,NA,NA,2.21,NA,NA,NA,NA,NA,8.77,17.86,26.6,39.7,15.84,100.00000000000001,55.540000000000006
P0123,P0123H02,2,30,58,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,7.94,3.08,0.16,8.15,6.99,1.16,20.02,NA,NA,0,NA,NA,NA,5.08,NA,NA,NA,NA,NA,3.46,20.16,23.8,36.91,19.13,99.99999999999999,56.03999999999999
P0123,P0123H03,3,58,70,H01-43,AC,Preoden horizont od tipicen humusno-akumulativen kon rastresit maticen supstrat,23.26,1.97,0.12,8.1,7.14,1,14.97,NA,NA,0,NA,NA,NA,4.44,NA,NA,NA,NA,NA,3.45,20.17,26.09,38.2,15.54,100,53.74
P0124,P0124H01,1,0,18,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,18.39,2.79,0.15,8,7.04,1.15,25,NA,NA,0,NA,NA,NA,4.53,NA,NA,NA,NA,NA,15.31,17.48,28.08,42.42,12.02,100,54.44
P0124,P0124H02,2,18,30,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,35.04,2.69,0.12,8.05,7.19,1,17.21,NA,NA,0,NA,NA,NA,3.52,NA,NA,NA,NA,NA,12.14,9.5,27.36,41.16,21.98,100,63.14
P0125,P0125H01,1,0,20,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,27.77,5.88,0.28,8,7.04,1.66,25,NA,NA,0,NA,NA,NA,3.85,NA,NA,NA,NA,NA,13.34,20.27,25.85,34.05,19.83,99.99999999999999,53.879999999999995
P0125,P0125H02,2,20,35,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,33.72,4.32,0.22,8.15,7.24,1.04,25,NA,NA,0,NA,NA,NA,4.23,NA,NA,NA,NA,NA,13.44,24.03,28.5,32.03999999999999,15.43,100,47.46999999999999
P0126,P0126H01,1,0,20,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,7.05,4.97,0.24,7.55,6.4,1,14.45,NA,NA,0,NA,NA,NA,3.81,NA,NA,NA,NA,NA,15.2,15.28,39.13,25.120000000000005,20.47,100,45.59
P0127,P0127H01,1,0,14,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,5.97,0.28,6.38,5.16,1,18.47,19.59,19,25.37,74.89160425699644,NA,NA,2.57,NA,NA,NA,NA,NA,16.72,15.57,30.15,30.30000000000001,23.98,100,54.280000000000015
P0127,P0127H02,2,14,36,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,3.79,0.2,6.46,5.21,1,11.29,16.51,19.62,24.98,78.54283426741392,NA,NA,2.62,NA,NA,NA,NA,NA,17.39,16.02,30.6,30.150000000000006,23.23,100.00000000000001,53.38000000000001
P0128,P0128H01,1,0,20,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,14.3,3.44,0.19,7.78,6.56,1,20.16,NA,NA,0,NA,NA,NA,4.75,NA,NA,NA,NA,NA,7.22,19.48,40.8,27.60000000000001,12.12,100.00000000000001,39.720000000000006
P0128,P0128H02,2,20,32,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,16.87,3.01,0.15,8,7.48,1,25,NA,NA,0,NA,NA,NA,4.43,NA,NA,NA,NA,NA,9.43,12.28,31.2,46.41,10.11,100,56.519999999999996
P0129,P0129H01,1,0,18,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,0,5.46,0.28,7.16,6,1,19.38,10.3,20.82,24.17,86.13984278030617,NA,NA,2.53,NA,NA,NA,NA,NA,17.44,16.16,28.88,36.28,18.68,100,54.96
P0129,P0129H02,2,18,38,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,8.4,4.33,0.23,7.36,6.3,1,12.62,NA,NA,0,NA,NA,NA,2.55,NA,NA,NA,NA,NA,20.15,13.61,40.29,25.180000000000007,20.92,100.00000000000001,46.10000000000001
P0130,P0130H01,1,0,14,H01-06,A,Tipicen humusno-akumulativen povrsinski mineralen horizont,13.72,6.71,0.33,7.95,7.19,7.18,19.36,NA,NA,0,NA,NA,NA,3.9,NA,NA,NA,NA,NA,22.76,7.88,28.02,45.71,18.39,99.99999999999999,64.1
P0131,P0131H01,1,0,20,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,0,2.11,NA,7.1,6.8,6.6,25,NA,12.8,15.07,84.93696084936961,NA,NA,2.17,NA,NA,NA,NA,NA,13.34,15.1,21.6,45.4,17.9,100,63.3
P0131,P0131H02,2,20,50,H01-44,A/Go,Mesovit humusno-akumulativeni sekundarno oksidiran gleen horizont,0,1.79,NA,6.7,6.5,0.6,10.1,NA,13,17.55,74.07407407407408,NA,NA,2.96,NA,NA,NA,NA,NA,12.6,23.9,21.9,40.1,14.1,100,54.2
P0132,P0132H01,1,0,20,H01-39,(A)p,Inicijalen slabo razvien humusno-akumulativen  horizont izmenet so obrabotka na pocvata,0,2.17,NA,6.3,5.45,1,13.7,NA,13.8,19.65,70.2290076335878,NA,NA,2.9,NA,NA,NA,NA,NA,3.57,31.7,20.5,11.400000000000006,36.4,100.00000000000001,47.800000000000004
