ProfID,soiltype,X,Y
P0403,"Complex of Cambisol, Leptosol and Regosol",22.20421042,42.05624195
P0406,"Complex of Vertisol, Regosol and Leptosol",22.13173981,42.02458432
P0409,"Complex of Cambisol, Leptosol and Regosol",22.28820807,42.0075925
P0410,"Complex of Cambisol, Leptosol and Regosol",22.27381637,42.03835654
P0412,Cambisol,22.2529699,42.12312957
P0414,Cambisol,22.30800585,42.14467286
P0415,Complex of Mollic and Umbric Leptosol,22.3302686,42.14881955
P0416,Cambisol,22.37968386,42.29693461
P0417,Cambisol,22.40596523,42.2653832
P0418,Cambisol,22.42237918,42.25953574
P0420,Complex of Mollic and Umbric Leptosol,22.35582355,42.23047806
P0421,Complex of Mollic and Umbric Leptosol,22.38992293,42.22150772
P0422,Complex of Mollic and Umbric Leptosol,22.425961,42.22807886
P0424,Cambisol,22.43722952,42.21163323
P0425,Cambisol,22.35239264,42.20765912
P0426,Cambisol,22.35468317,42.19470327
P0427,Cambisol,22.45818649,42.19079611
P0428,Cambisol,22.47342211,42.18267847
P0430,Complex of Mollic and Umbric Leptosol,22.48910578,42.16235345
P0431,Complex of Mollic and Umbric Leptosol,22.48578569,42.15648129
P0432,Cambisol,22.35961713,42.17352296
P0434,Complex of Mollic and Umbric Leptosol,22.37085834,42.15544538
P0435,Complex of Cambisol and Regosol,22.36369492,42.15262266
P0436,Complex of Cambisol and Regosol,22.34976554,42.14167716
P0437,Complex of Mollic and Umbric Leptosol,22.40056024,42.13715177
P0438,Cambisol,22.40675011,42.14081246
P0439,Cambisol,22.4204587,42.14091364
P0440,Complex of Mollic and Umbric Leptosol,22.41890282,42.13137125
P0441,Complex of Mollic and Umbric Leptosol,22.43594116,42.12743183
P0442,Complex of Mollic and Umbric Leptosol,22.46457506,42.13344427
P0444,Cambisol,22.37020065,42.10811308
P0445,Cambisol,22.40292482,42.10561979
P0446,Complex of Mollic and Umbric Leptosol,22.42987229,42.1135703
P0447,Cambisol,22.39333989,42.08698231
P0448,Cambisol,22.35807384,42.05544255
P0449,Cambisol,22.36041836,42.02773775
P0450,Cambisol,22.50593203,42.00979514
P0451,Leptosol,21.15063907,41.16012592
P0452,"Complex of Cambisol, Leptosol and Regosol",21.15471918,41.23311652
P0453,"Complex of Cambisol, Leptosol and Regosol",21.09445944,41.21174047
P0456,"Complex of Cambisol, Leptosol and Regosol",21.11700076,41.17327662
P0459,"Complex of Cambisol, Leptosol and Regosol",21.13653174,41.2236301
P0460,"Complex of Cambisol, Leptosol and Regosol",21.10488619,41.23681977
P0461,"Complex of Cambisol, Leptosol and Regosol",21.18715499,41.22934025
P0462,"Complex of Cambisol, Leptosol and Regosol",21.18726224,41.21258151
